id,begin,end,phone_goodness,phone_id,word_interval_id,utterance_id,workflow_id
6005,0.0,0.379,-43.59906768798828,3,4270,10,3
6006,0.0,0.03,-60.872554779052734,2,4271,1203,3
6007,0.03,0.07,-64.44522094726562,70,4272,1203,3
6008,0.07,0.13,-49.71087646484375,8,4272,1203,3
6009,0.13,0.323,-53.5313835144043,2,4273,1203,3
6010,0.0,0.04,-62.1640510559082,70,4274,1258,3
6011,0.04,0.11,-41.76108932495117,8,4274,1258,3
6012,0.11,0.379,-40.20342254638672,2,4275,1258,3
6013,0.0,0.09,-54.355106353759766,2,4276,1063,3
6014,0.09,0.14,-60.5,58,4277,1063,3
6015,0.14,0.33,-43.09745788574219,51,4277,1063,3
6016,0.33,0.3639375,-60.3148078918457,2,4278,1063,3
6017,0.0,0.18,-51.369537353515625,2,4279,12,3
6018,0.18,0.25,-59.97492218017578,70,4280,12,3
6019,0.25,0.29,-57.16315841674805,5,4280,12,3
6020,0.29,0.494,-47.3946418762207,2,4281,12,3
6021,0.0,0.03,-61.44569778442383,2,4282,1264,3
6022,0.03,0.1,-56.495113372802734,70,4283,1264,3
6023,0.1,0.16,-52.558109283447266,8,4283,1264,3
6024,0.16,0.4199375,-36.34615707397461,2,4284,1264,3
6025,0.0,0.26,-38.007484436035156,2,4285,1,3
6026,0.26,1.56,-40.74998092651367,3,4286,1,3
6027,1.56,1.8879375,-41.40407943725586,2,4287,1,3
6028,0.0,0.3809375,-49.894630432128906,3,4288,198,3
6029,0.0,0.03,-62.486175537109375,2,4289,133,3
6030,0.03,0.1,-52.20074462890625,70,4290,133,3
6031,0.1,0.18,-46.14215850830078,8,4290,133,3
6032,0.18,0.3319375,-44.24861526489258,2,4291,133,3
6033,0.0,0.05,-50.478599548339844,3,4292,1057,3
6034,0.05,1.1,-35.08403396606445,3,4293,1057,3
6035,1.1,2.128,-42.38728713989258,2,4294,1057,3
6036,0.0,0.52,-51.70747375488281,3,4295,202,3
6037,0.0,0.03,-61.96477127075195,2,4296,1345,3
6038,0.03,0.06,-61.510986328125,70,4297,1345,3
6039,0.06,0.1,-52.07333755493164,8,4297,1345,3
6040,0.1,0.2469375,-53.49614715576172,2,4298,1345,3
6041,0.0,0.31,-38.305397033691406,2,4299,1079,3
6042,0.31,1.28,-35.58932876586914,3,4300,1079,3
6043,1.28,1.4549375,-36.868900299072266,2,4301,1079,3
6044,0.0,0.76,-49.42803955078125,2,4302,30,3
6045,0.76,1.08,-56.66259002685547,3,4303,30,3
6046,1.08,1.185,-60.4581298828125,3,4304,30,3
6047,0.0,0.05,-56.49293899536133,70,4305,1362,3
6048,0.05,0.18,-41.85157012939453,8,4305,1362,3
6049,0.18,0.295,-52.11091613769531,2,4306,1362,3
6050,0.0,0.22,-38.03923416137695,2,4307,1202,3
6051,0.22,0.64,-39.90418243408203,3,4308,1202,3
6052,0.64,2.74,-38.522125244140625,2,4309,1202,3
6053,2.74,3.08,-40.6446418762207,3,4310,1202,3
6054,3.08,3.302,-40.90076446533203,2,4311,1202,3
6055,0.0,0.546,-51.919639587402344,3,4312,370,3
6056,0.0,0.11,-42.41192626953125,2,4313,1204,3
