id,begin,end,utterance_id,word_id,pronunciation_id,workflow_id
4270,0.0,0.379,10,199862,208653,3
4271,0.0,0.03,1203,1,1,3
4272,0.03,0.13,1203,198058,206808,3
4273,0.13,0.323,1203,1,1,3
4274,0.0,0.11,1258,198058,206808,3
4275,0.11,0.379,1258,1,1,3
4276,0.0,0.09,1063,1,1,3
4277,0.09,0.33,1063,163805,171111,3
4278,0.33,0.3639375,1063,1,1,3
4279,0.0,0.18,12,1,1,3
4280,0.18,0.29,12,197715,206459,3
4281,0.29,0.494,12,1,1,3
4282,0.0,0.03,1264,1,1,3
4283,0.03,0.16,1264,198058,206808,3
4284,0.16,0.4199375,1264,1,1,3
4285,0.0,0.26,1,1,1,3
4286,0.26,1.56,1,199862,208653,3
4287,1.56,1.8879375,1,1,1,3
4288,0.0,0.3809375,198,199869,208657,3
4289,0.0,0.03,133,1,1,3
4290,0.03,0.18,133,198058,206808,3
4291,0.18,0.3319375,133,1,1,3
4292,0.0,0.05,1057,199862,208653,3
4293,0.05,1.1,1057,199862,208653,3
4294,1.1,2.128,1057,1,1,3
4295,0.0,0.52,202,199862,208653,3
4296,0.0,0.03,1345,1,1,3
4297,0.03,0.1,1345,198058,206808,3
4298,0.1,0.2469375,1345,1,1,3
4299,0.0,0.31,1079,1,1,3
4300,0.31,1.28,1079,199862,208653,3
4301,1.28,1.4549375,1079,1,1,3
4302,0.0,0.76,30,1,1,3
4303,0.76,1.08,30,199862,208653,3
4304,1.08,1.185,30,199867,208655,3
4305,0.0,0.18,1362,198058,206808,3
4306,0.18,0.295,1362,1,1,3
4307,0.0,0.22,1202,1,1,3
4308,0.22,0.64,1202,199862,208653,3
4309,0.64,2.74,1202,1,1,3
4310,2.74,3.08,1202,199862,208653,3
4311,3.08,3.302,1202,1,1,3
4312,0.0,0.546,370,199862,208653,3
4313,0.0,0.11,1204,1,1,3
4314,0.11,1.09,1204,199862,208653,3
4315,1.09,1.324,1204,1,1,3
4316,0.0,0.1,375,1,1,3
4317,0.1,0.5969375,375,197715,206459,3
4318,0.0,0.19,1234,1,1,3
4319,0.19,0.83,1234,199862,208653,3
4320,0.83,1.069,1234,1,1,3
4321,0.0,0.08,416,1,1,3
4322,0.08,0.26,416,197715,206459,3
4323,0.26,0.416,416,1,1,3
4324,0.0,0.12,1295,1,1,3
4325,0.12,0.47,1295,198246,207001,3
4326,0.47,0.649,1295,1,1,3
4327,0.0,0.33,1364,199862,208653,3
4328,0.33,0.5629375,1364,199862,208653,3
4329,0.0,0.54,1317,1,1,3
4330,0.54,0.86,1317,199862,208653,3
4331,0.86,2.3969375,1317,1,1,3
4332,0.0,0.03,139,1,1,3
4333,0.03,0.19,139,198058,206808,3
4334,0.19,0.3629375,139,1,1,3
4335,0.0,0.21,464,175884,183644,3
4336,0.21,0.3799375,464,1,1,3
4337,0.0,0.03,496,1,1,3
4338,0.03,0.38,496,197715,206459,3
4339,0.38,0.4669375,496,1,1,3
4340,0.0,0.32,1368,1,1,3
4341,0.32,1.13,1368,90630,95057,3
4342,1.13,1.2269375,1368,1,1,3
4343,0.0,0.03,145,1,1,3
4344,0.03,0.11,145,198058,206808,3
4345,0.11,0.4159375,145,1,1,3
4346,0.0,0.68,162,1,1,3
4347,0.68,0.811,162,199862,208653,3
4348,0.0,0.07,564,1,1,3
4349,0.07,0.49,564,147938,154735,3
4350,0.49,0.754,564,199862,208653,3
4351,0.0,0.04,171,1,1,3
4352,0.04,0.22,171,198058,206808,3
4353,0.22,0.5509375,171,1,1,3
4354,0.0,0.18,658,1,1,3
4355,0.18,0.865,658,197715,206459,3
4356,0.0,0.03,226,1,1,3
4357,0.03,0.52,226,125032,130479,3
4358,0.52,0.58,226,1,1,3
4359,0.58,1.168,226,199862,208653,3
4360,0.0,0.03,237,1,1,3
4361,0.03,0.1,237,198058,206808,3
4362,0.1,0.4429375,237,1,1,3
4363,0.0,0.53,937,199862,208653,3
4364,0.53,0.649,937,1,1,3
4365,0.0,0.4619375,271,199862,208653,3
4366,0.0,2.23,236,1,1,3
4367,2.23,3.32,236,199862,208653,3
4368,3.32,3.39,236,199862,208653,3
4369,3.39,4.287,236,1,1,3
4370,0.0,0.6459375,459,199862,208653,3
4371,0.0,0.05,950,1,1,3
4372,0.05,0.44,950,197715,206459,3
4373,0.44,0.623,950,1,1,3
4374,0.0,0.05,585,1,1,3
4375,0.05,0.3419375,585,198058,206808,3
4376,0.0,0.53,997,199862,208653,3
4377,0.53,0.5969375,997,1,1,3
4378,0.0,0.03,830,1,1,3
4379,0.03,0.12,830,198058,206808,3
4380,0.12,0.2759375,830,1,1,3
4381,0.0,0.06,277,1,1,3
4382,0.06,0.61,277,28836,30112,3
4383,0.61,3.379,277,1,1,3
4384,0.0,0.13,1067,1,1,3
4385,0.13,0.41,1067,125032,130479,3
4386,0.41,1.038,1067,199880,208668,3
4387,0.0,0.26,852,199862,208653,3
4388,0.26,0.4149375,852,1,1,3
4389,0.0,0.03,974,1,1,3
4390,0.03,0.11,974,198058,206808,3
4391,0.11,0.4159375,974,1,1,3
4392,0.0,0.2,29,1,1,3
4393,0.2,0.56,29,199862,208653,3
4394,0.56,1.76,29,1,1,3
4395,1.76,2.09,29,199862,208653,3
4396,2.09,2.3589375,29,1,1,3
4397,0.0,0.2,1259,1,1,3
4398,0.2,0.51,1259,175884,183644,3
4399,0.51,0.5939375,1259,1,1,3
4400,0.0,0.83,1151,1,1,3
4401,0.83,1.44,1151,197715,206459,3
4402,1.44,2.085,1151,1,1,3
4403,0.0,0.33,307,1,1,3
4404,0.33,0.88,307,199862,208653,3
4405,0.88,1.0689375,307,1,1,3
4406,0.0,0.42,1184,1,1,3
4407,0.42,0.66,1184,197750,206494,3
4408,0.66,0.94,1184,1,1,3
4409,0.94,1.83,1184,199862,208653,3
4410,1.83,2.42,1184,199862,208653,3
4411,2.42,3.4639375,1184,1,1,3
4412,0.0,0.34,309,1,1,3
4413,0.34,1.5099375,309,199862,208653,3
4414,0.0,0.4739375,1363,199862,208653,3
