id,begin,end,phone_goodness,phone_id,word_interval_id,utterance_id,workflow_id
1,0.0,0.08,-94.86543273925781,2,1,10,2
2,0.08,0.379,-74.26029205322266,3,2,10,2
3,0.0,0.18,-97.2042236328125,2,3,1063,2
4,0.18,0.34,-83.75550079345703,58,4,1063,2
5,0.34,0.3639375,-89.40104675292969,51,4,1063,2
6,0.0,0.29,-96.45671081542969,2,5,1203,2
7,0.29,0.3,-108.67802429199219,70,6,1203,2
8,0.3,0.323,-94.10852813720703,8,6,1203,2
9,0.0,0.29,-94.6063461303711,2,7,12,2
10,0.29,0.3,-93.15083312988281,70,8,12,2
11,0.3,0.37,-83.55475616455078,5,8,12,2
12,0.37,0.494,-84.84910583496094,2,9,12,2
13,0.0,0.34,-77.57911682128906,2,10,1,2
14,0.34,1.57,-66.67570495605469,3,11,1,2
15,1.57,1.8879375,-77.74140930175781,2,12,1,2
16,0.0,0.35,-76.82547760009766,2,13,1258,2
17,0.35,0.36,-80.54718017578125,70,14,1258,2
18,0.36,0.379,-74.93733215332031,8,14,1258,2
19,0.0,0.29,-96.0165786743164,2,15,198,2
20,0.29,0.3809375,-95.92993927001953,3,16,198,2
21,0.0,1.33,-63.95730209350586,3,17,1057,2
22,1.33,1.46,-94.53137969970703,2,18,1057,2
23,1.46,1.53,-80.4830093383789,3,19,1057,2
24,1.53,2.128,-79.27891540527344,2,20,1057,2
25,0.0,0.38,-93.84256744384766,2,21,202,2
26,0.38,0.52,-105.08869934082031,3,22,202,2
27,0.0,0.39,-85.49503326416016,2,23,1264,2
28,0.39,0.4,-80.51802825927734,70,24,1264,2
29,0.4,0.4199375,-79.40867614746094,8,24,1264,2
30,0.0,0.58,-90.88829803466797,2,25,30,2
31,0.58,0.63,-93.87520599365234,3,26,30,2
32,0.63,0.66,-86.76849365234375,3,27,30,2
33,0.66,1.185,-98.89494323730469,2,28,30,2
34,0.0,0.37,-73.89916229248047,2,29,1079,2
35,0.37,1.3,-67.953857421875,3,30,1079,2
36,1.3,1.4549375,-69.9760513305664,2,31,1079,2
37,0.0,0.3,-87.82508087158203,2,32,133,2
38,0.3,0.31,-83.0613021850586,70,33,133,2
39,0.31,0.3319375,-77.55870056152344,8,33,133,2
40,0.0,0.22,-94.69677734375,2,34,1345,2
41,0.22,0.23,-94.618408203125,70,35,1345,2
42,0.23,0.2469375,-90.29859924316406,8,35,1345,2
43,0.0,0.28,-74.80644989013672,2,36,1202,2
44,0.28,0.65,-75.02210998535156,3,37,1202,2
45,0.65,2.81,-74.1199722290039,2,38,1202,2
46,2.81,3.09,-75.26203155517578,3,39,1202,2
47,3.09,3.302,-77.60858154296875,2,40,1202,2
48,0.0,0.3,-97.21282196044922,2,41,370,2
49,0.3,0.546,-93.91820526123047,3,42,370,2
50,0.0,0.27,-85.37911987304688,2,43,1362,2
51,0.27,0.28,-86.57329559326172,70,44,1362,2
52,0.28,0.295,-86.79082489013672,8,44,1362,2
53,0.0,0.18,-82.81332397460938,2,45,1204,2
54,0.18,1.13,-70.95642852783203,3,46,1204,2
