id,begin,end,utterance_id,word_id,pronunciation_id,workflow_id
1,0.0,0.08,10,1,1,2
2,0.08,0.379,10,199862,208653,2
3,0.0,0.18,1063,1,1,2
4,0.18,0.3639375,1063,163805,171111,2
5,0.0,0.29,1203,1,1,2
6,0.29,0.323,1203,198058,206808,2
7,0.0,0.29,12,1,1,2
8,0.29,0.37,12,197715,206459,2
9,0.37,0.494,12,1,1,2
10,0.0,0.34,1,1,1,2
11,0.34,1.57,1,199862,208653,2
12,1.57,1.8879375,1,1,1,2
13,0.0,0.35,1258,1,1,2
14,0.35,0.379,1258,198058,206808,2
15,0.0,0.29,198,1,1,2
16,0.29,0.3809375,198,199869,208657,2
17,0.0,1.33,1057,199862,208653,2
18,1.33,1.46,1057,1,1,2
19,1.46,1.53,1057,199862,208653,2
20,1.53,2.128,1057,1,1,2
21,0.0,0.38,202,1,1,2
22,0.38,0.52,202,199862,208653,2
23,0.0,0.39,1264,1,1,2
24,0.39,0.4199375,1264,198058,206808,2
25,0.0,0.58,30,1,1,2
26,0.58,0.63,30,199862,208653,2
27,0.63,0.66,30,199867,208655,2
28,0.66,1.185,30,1,1,2
29,0.0,0.37,1079,1,1,2
30,0.37,1.3,1079,199862,208653,2
31,1.3,1.4549375,1079,1,1,2
32,0.0,0.3,133,1,1,2
33,0.3,0.3319375,133,198058,206808,2
34,0.0,0.22,1345,1,1,2
35,0.22,0.2469375,1345,198058,206808,2
36,0.0,0.28,1202,1,1,2
37,0.28,0.65,1202,199862,208653,2
38,0.65,2.81,1202,1,1,2
39,2.81,3.09,1202,199862,208653,2
40,3.09,3.302,1202,1,1,2
41,0.0,0.3,370,1,1,2
42,0.3,0.546,370,199862,208653,2
43,0.0,0.27,1362,1,1,2
44,0.27,0.295,1362,198058,206808,2
45,0.0,0.18,1204,1,1,2
46,0.18,1.13,1204,199862,208653,2
47,1.13,1.324,1204,1,1,2
48,0.0,0.49,375,1,1,2
49,0.49,0.5969375,375,197715,206459,2
50,0.0,0.28,1234,1,1,2
51,0.28,0.92,1234,199862,208653,2
52,0.92,1.069,1234,1,1,2
53,0.0,0.07,1364,1,1,2
54,0.07,0.31,1364,199862,208653,2
55,0.31,0.5629375,1364,199862,208653,2
56,0.0,0.26,416,1,1,2
57,0.26,0.37,416,197715,206459,2
58,0.37,0.416,416,1,1,2
59,0.0,0.42,1295,1,1,2
60,0.42,0.46,1295,198246,207001,2
61,0.46,0.649,1295,1,1,2
62,0.0,0.33,139,1,1,2
63,0.33,0.3629375,139,198058,206808,2
64,0.0,0.59,1317,1,1,2
65,0.59,0.93,1317,199862,208653,2
66,0.93,2.3969375,1317,1,1,2
67,0.0,0.12,464,1,1,2
68,0.12,0.29,464,175884,183644,2
69,0.29,0.3799375,464,1,1,2
70,0.0,0.39,145,1,1,2
71,0.39,0.4159375,145,198058,206808,2
72,0.0,1.08,1368,1,1,2
73,1.08,1.2269375,1368,90630,95057,2
74,0.0,0.34,496,1,1,2
75,0.34,0.4669375,496,197715,206459,2
76,0.0,0.58,162,1,1,2
77,0.58,0.811,162,199862,208653,2
78,0.0,0.38,171,1,1,2
79,0.38,0.41,171,198058,206808,2
80,0.41,0.5509375,171,1,1,2
81,0.0,0.63,564,1,1,2
82,0.63,0.72,564,147938,154735,2
83,0.72,0.754,564,199862,208653,2
84,0.0,0.46,226,1,1,2
85,0.46,0.6,226,125032,130479,2
86,0.6,0.93,226,199862,208653,2
87,0.93,1.168,226,1,1,2
88,0.0,0.2,237,1,1,2
89,0.2,0.23,237,198058,206808,2
90,0.23,0.4429375,237,1,1,2
91,0.0,0.78,658,1,1,2
92,0.78,0.865,658,197715,206459,2
93,0.0,2.33,236,1,1,2
94,2.33,3.5,236,199862,208653,2
95,3.5,3.94,236,1,1,2
96,3.94,3.99,236,199862,208653,2
97,3.99,4.287,236,1,1,2
98,0.0,0.07,271,1,1,2
99,0.07,0.4619375,271,199862,208653,2
100,0.0,0.41,937,1,1,2
101,0.41,0.649,937,199862,208653,2
102,0.0,0.41,950,1,1,2
103,0.41,0.52,950,197715,206459,2
104,0.52,0.623,950,1,1,2
105,0.0,0.51,459,1,1,2
106,0.51,0.6459375,459,199862,208653,2
107,0.0,1.12,277,1,1,2
108,1.12,1.2,277,28836,30112,2
109,1.2,3.379,277,1,1,2
110,0.0,0.31,585,1,1,2
111,0.31,0.3419375,585,198058,206808,2
112,0.0,0.4,997,1,1,2
113,0.4,0.5969375,997,199862,208653,2
114,0.0,0.27,29,1,1,2
115,0.27,0.58,29,199862,208653,2
116,0.58,1.9,29,1,1,2
117,1.9,2.16,29,199862,208653,2
118,2.16,2.3589375,29,1,1,2
119,0.0,0.2,830,1,1,2
120,0.2,0.23,830,198058,206808,2
121,0.23,0.2759375,830,1,1,2
122,0.0,0.53,1067,1,1,2
123,0.53,0.65,1067,125032,130479,2
124,0.65,0.68,1067,199880,208668,2
125,0.68,1.038,1067,1,1,2
126,0.0,0.46,307,1,1,2
127,0.46,0.9,307,199862,208653,2
128,0.9,1.0689375,307,1,1,2
129,0.0,0.26,852,1,1,2
130,0.26,0.4149375,852,199862,208653,2
131,0.0,0.44,309,1,1,2
132,0.44,1.5099375,309,199862,208653,2
133,0.0,0.47,1259,1,1,2
134,0.47,0.53,1259,175884,183644,2
135,0.53,0.5939375,1259,1,1,2
136,0.0,0.26,974,1,1,2
137,0.26,0.29,974,198058,206808,2
138,0.29,0.4159375,974,1,1,2
139,0.0,1.43,1151,1,1,2
140,1.43,1.49,1151,197715,206459,2
141,1.49,2.085,1151,1,1,2
142,0.0,0.14,1363,1,1,2
143,0.14,0.37,1363,199862,208653,2
144,0.37,0.4739375,1363,1,1,2
145,0.0,0.03,320,199862,208653,2
146,0.03,0.45,320,126001,131488,2
147,0.45,1.321,320,1,1,2
148,0.0,0.84,1184,1,1,2
149,0.84,1.26,1184,197750,206494,2
150,1.26,1.4,1184,199862,208653,2
151,1.4,2.52,1184,1,1,2
152,2.52,2.84,1184,199862,208653,2
153,2.84,3.4639375,1184,1,1,2
154,0.0,0.32,1366,1,1,2
155,0.32,0.351,1366,198058,206808,2
