,path
0,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_337_0.wav
1,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_91_2.wav
2,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_213_4.wav
3,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_249_3.wav
4,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_193_0.wav
5,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_272_5.wav
6,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_48_3.wav
7,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_356_1.wav
8,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_326_8.wav
9,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_211_6.wav
10,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_313_1.wav
11,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_335_2.wav
12,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_237_5.wav
13,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_418_2.wav
14,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_93_0.wav
15,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_3_1.wav
16,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_148_3.wav
17,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_292_0.wav
18,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_80_8.wav
19,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_254_4.wav
20,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_418_0.wav
21,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_148_1.wav
22,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_370_0.wav
23,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_211_4.wav
24,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_335_0.wav
25,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_10_4.wav
26,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_193_2.wav
27,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_405_5.wav
28,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_249_1.wav
29,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_48_1.wav
30,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_91_0.wav
31,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_129_0.wav
32,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_290_0.wav
33,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_354_1.wav
34,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_270_5.wav
35,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_213_6.wav
36,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_337_2.wav
37,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_191_0.wav
38,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_256_6.wav
39,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_1_1.wav
40,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_349_4.wav
41,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_394_1.wav
42,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_14_0.wav
