feature,success,n_obs,n_speakers,age_ref,formula,"coef::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(age_bucket, Treatment(reference='Older'))[T.Younger]"
F0msemax,True,3571,55,Older,"F0msemax ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",245.57381123703814,0.0002747873363865937
F0tiltmin,True,3571,55,Older,"F0tiltmin ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",15.75368882560367,0.7327380730503552
F0tiltmax,True,3571,55,Older,"F0tiltmax ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",50.71568964268623,0.09337151373690208
F0msestd,True,3571,55,Older,"F0msestd ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",81.74324794005628,4.3490704961392e-05
F0mseavg,True,3571,55,Older,"F0mseavg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",40.49779394844998,0.0020399139597126925
F0tiltstd,True,3571,55,Older,"F0tiltstd ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",7.62771540306096,0.5620541788438199
F0tiltavg,True,3571,55,Older,"F0tiltavg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",7.469767176147012,0.7050142916703213
avgtiltEunvoiced,True,3571,55,Older,"avgtiltEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",9.891931985910029,0.000288435411322511
kurtosisEunvoiced,True,3571,55,Older,"kurtosisEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",16.423760955313394,0.0410350604168708
F0msemin,True,3571,55,Older,"F0msemin ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-3.0090662373116923,0.11705909829212904
1F0max,True,3571,55,Older,"Q(""1F0max"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.3558435256507533,0.512116242805017
lastF0max,True,3571,55,Older,"lastF0max ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.484417172317098,0.0898153889862813
1F0mean,True,3571,55,Older,"Q(""1F0mean"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.2049558771700988,0.4528749391174052
lastF0avg,True,3571,55,Older,"lastF0avg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.6992444934820794,0.08109363967096532
lastF0min,True,3571,55,Older,"lastF0min ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.8591403260633674,0.10321558286319703
1F0min,True,3571,55,Older,"Q(""1F0min"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.3171912172231988,0.3913485013795125
maxdurvoiced,True,3571,55,Older,"maxdurvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.2996824843974903,0.28170933678169396
F0max,True,3571,55,Older,"F0max ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",5.717865490546768,0.04417896657452907
kurtosisdurvoiced,True,3571,55,Older,"kurtosisdurvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-7.052985543775195,0.09551625731405662
F0avg,True,3571,55,Older,"F0avg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",5.929425901215622,0.09044018192861446
F0min,True,3571,55,Older,"F0min ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",4.455775900133006,0.03014085703891213
1F0std,True,3571,55,Older,"Q(""1F0std"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",0.5337870549386914,0.29055518266139857
lastF0std,True,3571,55,Older,"lastF0std ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",0.08946851448980518,0.7652577742586704
max1Eunvoiced,True,3571,55,Older,"max1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.662359469339098,0.3747860850570963
F0std,True,3571,55,Older,"F0std ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",1.4783077140941112,0.08053379699176053
maxlastEunvoiced,True,3571,55,Older,"maxlastEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.1673190665592252,0.06423748675190023
kurtosismseEunvoiced,True,3571,55,Older,"kurtosismseEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.7407424751709434,0.3451868724986449
kurtosis1Eunvoiced,True,3571,55,Older,"kurtosis1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.0600688364463622,0.11065239172307365
std1Eunvoiced,True,3571,55,Older,"std1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.8004197062009517,0.2596406726722639
stdlastEunvoiced,True,3571,55,Older,"stdlastEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.7164657956998871,0.2552757153193591
