feature,success,n_obs,n_speakers,age_ref,formula,"coef::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p_adj_fdr::C(age_bucket, Treatment(reference='Older'))[T.Younger]","sig_fdr_0_05::C(age_bucket, Treatment(reference='Older'))[T.Younger]"
F0msemax,True,3571,55,Older,"F0msemax ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",245.57381123703814,0.0002747873363865937,0.00288435411322511,True
F0tiltmin,True,3571,55,Older,"F0tiltmin ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",15.75368882560367,0.7327380730503552,0.7580049031555398,False
F0tiltmax,True,3571,55,Older,"F0tiltmax ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",50.71568964268623,0.09337151373690208,0.20467769424440704,False
F0msestd,True,3571,55,Older,"F0msestd ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",81.74324794005628,4.3490704961392e-05,0.00130472114884176,True
F0mseavg,True,3571,55,Older,"F0mseavg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",40.49779394844998,0.0020399139597126925,0.015299354697845194,True
F0tiltstd,True,3571,55,Older,"F0tiltstd ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",7.62771540306096,0.5620541788438199,0.6245046431597999,False
F0tiltavg,True,3571,55,Older,"F0tiltavg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",7.469767176147012,0.7050142916703213,0.7553724553610585,False
avgtiltEunvoiced,True,3571,55,Older,"avgtiltEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",9.891931985910029,0.000288435411322511,0.00288435411322511,True
kurtosisEunvoiced,True,3571,55,Older,"kurtosisEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",16.423760955313394,0.0410350604168708,0.18933842817655316,False
F0msemin,True,3571,55,Older,"F0msemin ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-3.0090662373116923,0.11705909829212904,0.20657487933905125,False
1F0max,True,3571,55,Older,"Q(""1F0max"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.3558435256507533,0.512116242805017,0.5909033570827119,False
lastF0max,True,3571,55,Older,"lastF0max ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.484417172317098,0.0898153889862813,0.20467769424440704,False
1F0mean,True,3571,55,Older,"Q(""1F0mean"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.2049558771700988,0.4528749391174052,0.5434499269408862,False
lastF0avg,True,3571,55,Older,"lastF0avg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.6992444934820794,0.08109363967096532,0.20467769424440704,False
lastF0min,True,3571,55,Older,"lastF0min ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.8591403260633674,0.10321558286319703,0.20643116572639406,False
1F0min,True,3571,55,Older,"Q(""1F0min"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.3171912172231988,0.3913485013795125,0.4891856267243906,False
maxdurvoiced,True,3571,55,Older,"maxdurvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.2996824843974903,0.28170933678169396,0.4150788323734266,False
F0max,True,3571,55,Older,"F0max ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",5.717865490546768,0.04417896657452907,0.18933842817655316,False
kurtosisdurvoiced,True,3571,55,Older,"kurtosisdurvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-7.052985543775195,0.09551625731405662,0.20467769424440704,False
F0avg,True,3571,55,Older,"F0avg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",5.929425901215622,0.09044018192861446,0.20467769424440704,False
F0min,True,3571,55,Older,"F0min ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",4.455775900133006,0.03014085703891213,0.18084514223347278,False
1F0std,True,3571,55,Older,"Q(""1F0std"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",0.5337870549386914,0.29055518266139857,0.4150788323734266,False
lastF0std,True,3571,55,Older,"lastF0std ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",0.08946851448980518,0.7652577742586704,0.7652577742586704,False
max1Eunvoiced,True,3571,55,Older,"max1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.662359469339098,0.3747860850570963,0.4888514152918647,False
F0std,True,3571,55,Older,"F0std ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",1.4783077140941112,0.08053379699176053,0.20467769424440704,False
maxlastEunvoiced,True,3571,55,Older,"maxlastEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.1673190665592252,0.06423748675190023,0.20467769424440704,False
kurtosismseEunvoiced,True,3571,55,Older,"kurtosismseEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.7407424751709434,0.3451868724986449,0.47070937158906123,False
kurtosis1Eunvoiced,True,3571,55,Older,"kurtosis1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.0600688364463622,0.11065239172307365,0.20657487933905125,False
std1Eunvoiced,True,3571,55,Older,"std1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.8004197062009517,0.2596406726722639,0.40995895685094297,False
stdlastEunvoiced,True,3571,55,Older,"stdlastEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.7164657956998871,0.2552757153193591,0.40995895685094297,False
