feature,success,n_obs,n_speakers,age_ref,formula,"coef::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(age_bucket, Treatment(reference='Older'))[T.Younger]"
F0msemax,True,6465,81,Older,"F0msemax ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",292.2058688674905,2.5215666517399678e-08
F0tiltmin,True,6465,81,Older,"F0tiltmin ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.01612557566264099,0.9997415162544906
F0tiltmax,True,6465,81,Older,"F0tiltmax ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",56.50448172984687,0.05675617197466079
F0msestd,True,6465,81,Older,"F0msestd ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",95.97062238754529,3.035246317215263e-10
F0mseavg,True,6465,81,Older,"F0mseavg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",47.329549868805756,0.00019447442292601692
F0tiltstd,True,6465,81,Older,"F0tiltstd ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",14.728908278177146,0.3025150124499485
F0tiltavg,True,6465,81,Older,"F0tiltavg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",6.984000476274277,0.7477075283340306
F0msemin,True,6465,81,Older,"F0msemin ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-3.088525303314591,0.375235710762596
avgtiltEunvoiced,True,6465,81,Older,"avgtiltEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",9.687197046746196,6.846218072620868e-09
kurtosisEunvoiced,True,6465,81,Older,"kurtosisEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",17.002263480305004,0.0061398574397858565
1F0max,True,6465,81,Older,"Q(""1F0max"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",4.7432215913378055,0.30296214150630585
lastF0max,True,6465,81,Older,"lastF0max ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.871960535990866,0.004645005202271617
1F0mean,True,6465,81,Older,"Q(""1F0mean"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",4.754277183742381,0.21070045654640035
lastF0avg,True,6465,81,Older,"lastF0avg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.4138336067190242,0.03667123387248255
1F0min,True,6465,81,Older,"Q(""1F0min"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",4.961260395744274,0.14438721728111656
lastF0min,True,6465,81,Older,"lastF0min ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",2.289807789608522,0.16662919651003805
maxdurvoiced,True,6465,81,Older,"maxdurvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",2.775586068740757,0.28771046295185665
F0max,True,6465,81,Older,"F0max ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",6.965449641790243,0.0045800158127713535
kurtosisdurvoiced,True,6465,81,Older,"kurtosisdurvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-6.8656966014359515,0.08926447630278923
F0avg,True,6465,81,Older,"F0avg ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",5.815649127555901,0.04545158451766662
F0min,True,6465,81,Older,"F0min ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",3.791399337960107,0.02510211509418091
1F0std,True,6465,81,Older,"Q(""1F0std"") ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",0.46283457675531,0.324650952129392
lastF0std,True,6465,81,Older,"lastF0std ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",0.6151033763545604,0.00856847839981665
max1Eunvoiced,True,6465,81,Older,"max1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.1581515496816408,0.09711194137922406
F0std,True,6465,81,Older,"F0std ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",1.992066977017583,0.011460512706847005
maxlastEunvoiced,True,6465,81,Older,"maxlastEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.4614599668552097,0.017542181423863726
kurtosismseEunvoiced,True,6465,81,Older,"kurtosismseEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.1638876771672506,0.11821191038007063
kurtosis1Eunvoiced,True,6465,81,Older,"kurtosis1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.2978261364316033,0.02597223162744134
std1Eunvoiced,True,6465,81,Older,"std1Eunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-1.043625217453237,0.13280115535715217
stdlastEunvoiced,True,6465,81,Older,"stdlastEunvoiced ~ C(age_bucket, Treatment(reference='Older')) + C(gender) + C(condition)",-0.9075675710960577,0.052954335384824795
