feature,success,n_obs,n_speakers,age_ref,formula,"coef::C(age_bucket, Treatment(reference='19-24'))[T.25+]","coef::C(age_bucket, Treatment(reference='19-24'))[T.<19]","p::C(age_bucket, Treatment(reference='19-24'))[T.25+]","p::C(age_bucket, Treatment(reference='19-24'))[T.<19]",error
F0msemax,True,52313,65.0,19-24,"F0msemax ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-258.09939256401447,125.08378651771292,0.004746451856680672,0.2897920164787683,
F0tiltmin,True,52313,65.0,19-24,"F0tiltmin ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-29.047287797302193,735.8345185813031,0.693431481684252,4.011660746570093e-56,
F0mseavg,True,52313,65.0,19-24,"F0mseavg ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-187.43622589512307,240.21425272775662,0.03076191694135212,0.03880540334546721,
F0msemin,True,52313,65.0,19-24,"F0msemin ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-138.34222940840152,323.8464294179338,0.11834923728246652,0.0074458458673153285,
F0tiltmax,True,52313,65.0,19-24,"F0tiltmax ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-123.05335747031468,512.7322221334247,0.07415363491813598,1.4339321080805014e-30,
F0tiltavg,True,52313,65.0,19-24,"F0tiltavg ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-69.16721713271403,623.5269064295812,0.27327804073241124,8.369050118552759e-69,
F0tiltstd,True,52313,65.0,19-24,"F0tiltstd ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-43.15002985270346,-93.73948428606131,0.07880483696957272,3.430323833760028e-06,
F0msestd,True,52313,65.0,19-24,"F0msestd ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-53.342700113546606,-89.23114724432837,0.011637687098323864,0.0007220785877464117,
kurtosisEunvoiced,True,52313,65.0,19-24,"kurtosisEunvoiced ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-19.520804672799553,-5.667675488935869,0.19944240428605275,0.3563847574272133,
avgtiltEunvoiced,True,52313,65.0,19-24,"avgtiltEunvoiced ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-21.151430087841902,-10.246754381184797,0.07544063421208463,0.0653380090251563,
1F0max,True,52313,65.0,19-24,"Q(""1F0max"") ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-15.191914912068917,-50.77926374231173,0.22463105585274967,1.5192391036550397e-06,
F0max,True,52313,65.0,19-24,"F0max ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-27.169204560696265,-64.39284463070518,0.03616262557062734,1.1548211402128229e-11,
lastF0max,True,52313,65.0,19-24,"lastF0max ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-27.82197647440654,-54.85319528341264,0.02087807408469221,3.4754164309667392e-09,
lastF0avg,True,52313,65.0,19-24,"lastF0avg ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-12.75251273568288,-58.31434254159116,0.20287505695584018,1.0742563962149333e-17,
1F0mean,True,52313,65.0,19-24,"Q(""1F0mean"") ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-3.9807125759078215,-54.36394672794392,0.6777582508074229,9.870634855157847e-14,
F0avg,True,52313,65.0,19-24,"F0avg ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-10.253783226703412,-56.676446431775,0.2678007056236644,1.7158475809223616e-17,
lastF0min,True,52313,65.0,19-24,"lastF0min ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-5.799794546211082,-92.37108326162091,0.544550577306273,1.6318861337864125e-39,
1F0min,True,52313,65.0,19-24,"Q(""1F0min"") ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-0.58450882604766,-86.10297281454507,0.9472639100657959,5.1075005978557395e-34,
F0min,True,52313,65.0,19-24,"F0min ~ C(age_bucket, Treatment(reference='19-24')) + C(gender) + C(condition) + duration_sec",-2.492814726087145,-80.14439112867643,0.7528893623179281,4.0532155380875644e-33,
