model_type,feature,term,masac,seame
all_condition,1F0max,C(age_bucket)[T.25+],,-8.814984400273795
all_condition,1F0max,C(age_bucket)[T.<19],,-53.40235757744494
all_condition,1F0max,C(audience_proficiency_proxy)[T.low_l2],-6.528520235297414,
all_condition,1F0max,C(audience_proficiency_proxy)[T.mid_l2],3.5989129795680173,
all_condition,1F0max,C(condition)[T.monolingual_EN],-1.0120722940998181,4.070499933791247
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,-1.682696688083538
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,4.392676246614955
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],66.2801393154018,
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],1.4804885863356723,
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],1541734438876.4014,
all_condition,1F0max,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-5006129518.0516815,
all_condition,1F0max,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-3110136.76297223,
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-202164913717.35364,
all_condition,1F0max,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,1F0max,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],35.616133671023206,
all_condition,1F0max,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,1F0max,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-1.9929029745002254,
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(gender)[T.male],,1.3424065879978397
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,-4.978210734670279
all_condition,1F0max,C(condition)[T.monolingual_HI],-5.707275579043974,
