corpus,model_type,feature,term,coef,p_value,aic,n
masac,all_condition,F0msemax,Intercept,1376.361093112465,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_EN],-510.5571701084179,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_HI],-483.4502690845504,,110796.36488339116,6476
masac,all_condition,F0msemax,has_discourse_marker[T.True],210.98149342936358,,110796.36488339116,6476
masac,all_condition,F0msemax,has_repetition[T.True],323.3832081790781,,110796.36488339116,6476
masac,all_condition,F0msemax,C(dialogue_act)[T.1],-2591378114695035.0,,110796.36488339116,6476
masac,all_condition,F0msemax,C(dialogue_act)[T.a],139.96578173914227,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(dialogue_act)[T.a,_i]",518.0952629442563,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(dialogue_act)[T.a,_o]",-616.1150796391504,,110796.36488339116,6476
masac,all_condition,F0msemax,C(dialogue_act)[T.i],60.05210378005051,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(dialogue_act)[T.i,_a]",459.48235912232093,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(dialogue_act)[T.i,_a,_o]",-511.70533049442963,,110796.36488339116,6476
masac,all_condition,F0msemax,C(dialogue_act)[T.o],-244.20239726700493,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(dialogue_act)[T.o,_a]",1399.331657736975,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(dialogue_act)[T.o,_i]",1038.4277024752387,,110796.36488339116,6476
masac,all_condition,F0msemax,C(audience_proficiency_proxy)[T.low_l2],-705.8007960642874,,110796.36488339116,6476
masac,all_condition,F0msemax,C(audience_proficiency_proxy)[T.mid_l2],20.483400209196873,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],26984947651973.453,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],2591378114694616.0,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-3538488520568.047,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],2277101718444.3506,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-87622186789.87958,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",-2155820317.756873,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-54436662.77601397,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",1197483.1154056962,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],-40.90330753135352,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],-142.8769887104924,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-134.19041332049525,,110796.36488339116,6476
masac,all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],1978.085392361337,,110796.36488339116,6476
masac,all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,,110796.36488339116,6476
