model_type,feature,term,masac,seame
all_condition,1F0max,C(age_bucket)[T.25+],,1.98993030293738e-13
all_condition,1F0max,C(age_bucket)[T.<19],,3.6792845175626135e-13
all_condition,1F0max,C(condition)[T.monolingual_EN],,0.23670591104694091
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,0.6801107858393904
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,0.6242422752233048
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(gender)[T.male],,0.31724232870906527
all_condition,1F0max,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,0.15080855663146786
all_condition,1F0max,C(condition)[T.monolingual_ZH],,0.49291117066251666
all_condition,1F0max,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,0.0003086488826759014
all_condition,1F0max,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,0.427456280019774
all_condition,1F0max,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,1.722721502510075e-11
all_condition,1F0max,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,8.19883107388401e-09
all_condition,1F0max,C(gender)[T.male],,0.0
all_condition,1F0max,C(nationality)[T.singaporean],,3.537841030169232e-22
all_condition,1F0max,Intercept,,0.0
all_condition,1F0max,has_discourse_marker[T.True],,0.07286421076834192
all_condition,1F0max,has_repetition[T.True],,0.0668546774020852
all_condition,F0max,C(age_bucket)[T.25+],,7.495857564217128e-22
all_condition,F0max,C(age_bucket)[T.<19],,1.70444818678961e-20
all_condition,F0max,C(condition)[T.monolingual_EN],,0.5323609817064613
all_condition,F0max,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,0.5271067690660949
all_condition,F0max,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,0.24181282401292303
all_condition,F0max,C(condition)[T.monolingual_EN]:C(gender)[T.male],,0.011300042799021021
all_condition,F0max,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,0.010627405654315534
all_condition,F0max,C(condition)[T.monolingual_ZH],,0.002154599585645577
all_condition,F0max,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,5.339909690451029e-05
all_condition,F0max,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,0.591874289651703
all_condition,F0max,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,0.14039021479043998
all_condition,F0max,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,2.666530085855469e-10
all_condition,F0max,C(gender)[T.male],,0.0
all_condition,F0max,C(nationality)[T.singaporean],,1.4376757817081383e-95
all_condition,F0max,Intercept,,0.0
all_condition,F0max,has_discourse_marker[T.True],,0.018923985366217744
all_condition,F0max,has_repetition[T.True],,0.002613846322262382
all_condition,F0mseavg,C(age_bucket)[T.25+],,5.553600579792352e-07
all_condition,F0mseavg,C(age_bucket)[T.<19],,0.0005716811500439467
all_condition,F0mseavg,C(condition)[T.monolingual_EN],,0.12807901043326017
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,0.04372091825043802
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,0.6671144648218433
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(gender)[T.male],,3.515510151428844e-07
all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,0.5250843632828439
all_condition,F0mseavg,C(condition)[T.monolingual_ZH],,0.04647894434227763
all_condition,F0mseavg,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,0.4166446835870389
all_condition,F0mseavg,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,0.07289801217987012
all_condition,F0mseavg,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,7.348649397371724e-17
all_condition,F0mseavg,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,3.526825908387915e-15
all_condition,F0mseavg,C(gender)[T.male],,0.0
all_condition,F0mseavg,C(nationality)[T.singaporean],,6.692455980153337e-133
all_condition,F0mseavg,Intercept,,6.29396023874698e-250
all_condition,F0mseavg,has_discourse_marker[T.True],,0.0027529387302532393
all_condition,F0mseavg,has_repetition[T.True],,1.3734944218561768e-14
all_condition,F0msemax,C(age_bucket)[T.25+],,1.589899692628553e-13
all_condition,F0msemax,C(age_bucket)[T.<19],,0.3030593803856572
all_condition,F0msemax,C(condition)[T.monolingual_EN],,0.0822558941308744
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,0.002088551231505424
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,0.5914712435187695
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(gender)[T.male],,2.8476102101919903e-15
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,0.07212320555907963
all_condition,F0msemax,C(condition)[T.monolingual_ZH],,9.752903392009458e-05
all_condition,F0msemax,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,1.196020057835498e-06
all_condition,F0msemax,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,0.04094101943956456
all_condition,F0msemax,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,8.292483219054859e-09
all_condition,F0msemax,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,1.8625768477892398e-44
all_condition,F0msemax,C(gender)[T.male],,0.0
all_condition,F0msemax,C(nationality)[T.singaporean],,1.0663637270260738e-154
all_condition,F0msemax,Intercept,,4.723515945527876e-295
all_condition,F0msemax,has_discourse_marker[T.True],,2.386910818183247e-12
all_condition,F0msemax,has_repetition[T.True],,2.745876206394149e-23
all_condition,F0msemin,C(age_bucket)[T.25+],,0.051634751767360786
all_condition,F0msemin,C(age_bucket)[T.<19],,2.8882065784113327e-07
all_condition,F0msemin,C(condition)[T.monolingual_EN],,0.5329154356421137
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,0.48087665181296424
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,0.4741807109313194
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(gender)[T.male],,2.3406371596240702e-05
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,0.8638312461508584
all_condition,F0msemin,C(condition)[T.monolingual_ZH],,1.88264914221448e-19
all_condition,F0msemin,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,7.408931255746022e-05
all_condition,F0msemin,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,0.12459959636996931
all_condition,F0msemin,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,3.9581326735771183e-29
all_condition,F0msemin,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,0.8207756724734094
all_condition,F0msemin,C(gender)[T.male],,0.0
all_condition,F0msemin,C(nationality)[T.singaporean],,5.779797858097083e-98
all_condition,F0msemin,Intercept,,8.254452895128856e-160
all_condition,F0msemin,has_discourse_marker[T.True],,0.7001020792007361
all_condition,F0msemin,has_repetition[T.True],,1.8786070367732067e-10
all_condition,F0msestd,C(age_bucket)[T.25+],,9.359417971373743e-21
all_condition,F0msestd,C(age_bucket)[T.<19],,2.852110932621903e-07
all_condition,F0msestd,C(condition)[T.monolingual_EN],,0.021015048107626777
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,9.164473888788777e-05
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,0.626596961742919
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(gender)[T.male],,3.958026509132317e-06
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,0.042637830022724504
all_condition,F0msestd,C(condition)[T.monolingual_ZH],,1.3854567421766278e-88
all_condition,F0msestd,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,1.538557938749225e-43
all_condition,F0msestd,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,0.37499798967927156
all_condition,F0msestd,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,4.849294906865344e-15
all_condition,F0msestd,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,2.7033102114077008e-109
all_condition,F0msestd,C(gender)[T.male],,1.5374159856081196e-61
all_condition,F0msestd,C(nationality)[T.singaporean],,3.9040555508223644e-28
all_condition,F0msestd,Intercept,,4.2789194705025147e-94
all_condition,F0msestd,has_discourse_marker[T.True],,2.8177769273754364e-19
all_condition,F0msestd,has_repetition[T.True],,6.313847354901464e-07
all_condition,F0tiltavg,C(age_bucket)[T.25+],,6.377796050458089e-22
all_condition,F0tiltavg,C(age_bucket)[T.<19],,6.157368167808754e-28
all_condition,F0tiltavg,C(condition)[T.monolingual_EN],,0.000728898209658237
all_condition,F0tiltavg,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,0.9291166590076181
all_condition,F0tiltavg,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,0.4142151040493167
all_condition,F0tiltavg,C(condition)[T.monolingual_EN]:C(gender)[T.male],,8.267045650457841e-72
all_condition,F0tiltavg,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,0.00019878328295687775
all_condition,F0tiltavg,C(condition)[T.monolingual_ZH],,0.006022960986863095
all_condition,F0tiltavg,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,0.1193603167706794
all_condition,F0tiltavg,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,0.527425231320537
all_condition,F0tiltavg,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,0.013720698338092053
all_condition,F0tiltavg,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,0.3662853054326478
all_condition,F0tiltavg,C(gender)[T.male],,3.512347173022501e-117
all_condition,F0tiltavg,C(nationality)[T.singaporean],,6.177899531813572e-173
all_condition,F0tiltavg,Intercept,,3.007580367335783e-188
all_condition,F0tiltavg,has_discourse_marker[T.True],,0.3508493272013209
all_condition,F0tiltavg,has_repetition[T.True],,0.017121504267312425
all_condition,F0tiltmax,C(age_bucket)[T.25+],,3.8500001333284394e-07
all_condition,F0tiltmax,C(age_bucket)[T.<19],,5.613777662295133e-18
all_condition,F0tiltmax,C(condition)[T.monolingual_EN],,0.04434406237638552
all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,0.5362240378300417
all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,0.2308578963033317
all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(gender)[T.male],,8.529202327442322e-53
