feature,success,n_obs,n_groups,coef_diff_vs_sameAge,p_diff_vs_sameAge
F0msemax,True,3575,57,-55.00270846153647,0.24770843164472456
F0tiltmin,True,3575,57,26.74382088780446,0.25525172204599855
F0tiltmax,True,3575,57,-25.34867896486999,0.1362584389889376
F0msestd,True,3575,57,-20.556677236527285,0.1524245717817071
F0mseavg,True,3575,57,-8.888485886545864,0.2704667502811178
F0tiltstd,True,3575,57,-17.165833201503844,0.07897366918931184
F0tiltavg,True,3575,57,-0.1952308893999203,0.9633513666368503
avgtiltEunvoiced,True,3575,57,2.4370080318462004,0.6417015913068809
kurtosisEunvoiced,True,3575,57,-3.1394285567723546,0.4549072758656526
F0msemin,True,3575,57,3.9341483976387286,0.11758671293454344
1F0max,True,3575,57,-3.252651054300343,0.2559933717320423
lastF0max,True,3575,57,-0.821785793065603,0.5804086636426387
1F0mean,True,3575,57,-3.0204672484048505,0.2840463324599086
lastF0avg,True,3575,57,0.1474269596350304,0.9238279144438549
lastF0min,True,3575,57,0.38538491149596993,0.8319170824096732
1F0min,True,3575,57,-3.7020727880204456,0.24820200864434938
maxdurvoiced,True,3575,57,0.12830789627975556,0.9403166313688147
F0max,True,3575,57,-3.1307210272132298,0.05765978324023424
kurtosisdurvoiced,True,3575,57,-1.4320402839209139,0.33718944757288927
F0avg,True,3575,57,-3.461414146452963,0.053016466238004
F0min,True,3575,57,-1.3407882091574979,0.03855380000105631
1F0std,True,3575,57,-0.3282298517860239,0.6643181925940458
lastF0std,True,3575,57,-0.768879887750245,0.01188415427598642
max1Eunvoiced,True,3575,57,0.17882012736811498,0.5848744638413456
F0std,True,3575,57,-1.2017922429836725,0.0666670208402044
maxlastEunvoiced,True,3575,57,-0.4804934460930351,0.18633808944189068
kurtosismseEunvoiced,True,3575,57,0.1840331739003081,0.5363053861325219
kurtosis1Eunvoiced,True,3575,57,-0.45700654824299164,0.18834096444323478
std1Eunvoiced,True,3575,57,0.19603275455609143,0.5188490848705196
stdlastEunvoiced,True,3575,57,-0.46347843221669816,0.16495829644404014
