utt_id,interaction_id,speaker,speaker_age_mode,prev_speaker,interlocutor_age_bucket,age_match,gender,age_bucket,condition
test_10_0,test_10,MAYA,Older,,,different,female,Older,code_switched
test_10_1,test_10,MONISHA,Younger,MAYA,Older,different,female,Younger,monolingual_EN
test_10_2,test_10,MAYA,Older,MONISHA,Younger,different,female,Older,code_switched
test_10_3,test_10,MONISHA,Younger,MAYA,Older,different,female,Younger,code_switched
test_101_2,test_101,MAYA,Older,,,different,female,Older,monolingual_HI
test_101_3,test_101,INDRAVARDHAN,Older,MAYA,Older,same,male,Older,code_switched
test_101_4,test_101,MAYA,Older,INDRAVARDHAN,Older,same,female,Older,code_switched
test_105_0,test_105,DUSHYANT,Younger,,,different,male,Younger,code_switched
test_105_1,test_105,SAHIL,Younger,DUSHYANT,Younger,same,male,Younger,code_switched
test_113_1,test_113,MONISHA,Younger,,,different,female,Younger,monolingual_HI
test_113_2,test_113,MAYA,Older,MONISHA,Younger,different,female,Older,code_switched
test_113_3,test_113,MONISHA,Younger,MAYA,Older,different,female,Younger,monolingual_HI
test_113_4,test_113,MAYA,Older,MONISHA,Younger,different,female,Older,code_switched
test_114_0,test_114,SAHIL,Younger,,,different,male,Younger,code_switched
test_114_1,test_114,MONISHA,Younger,SAHIL,Younger,same,female,Younger,code_switched
test_116_0,test_116,MAYA,Older,,,different,female,Older,monolingual_HI
test_116_1,test_116,INDRAVARDHAN,Older,MAYA,Older,same,male,Older,code_switched
test_116_2,test_116,MAYA,Older,INDRAVARDHAN,Older,same,female,Older,code_switched
test_118_0,test_118,MAYA,Older,,,different,female,Older,code_switched
test_118_1,test_118,INDRAVARDHAN,Older,MAYA,Older,same,male,Older,monolingual_HI
test_118_2,test_118,MAYA,Older,INDRAVARDHAN,Older,same,female,Older,code_switched
test_119_0,test_119,MONISHA,Younger,,,different,female,Younger,code_switched
test_119_1,test_119,ROSESH,Younger,MONISHA,Younger,same,male,Younger,monolingual_HI
