feature,success,n_obs,n_groups,coef_diff_vs_sameAge,p_diff_vs_sameAge
F0msemax,True,6476,84,-57.89932564356786,0.2680357122710717
F0tiltmin,True,6476,84,19.757464075017275,0.15685579130175809
F0tiltmax,True,6476,84,-6.544866437867388,0.5909375384253619
F0msestd,True,6476,84,-25.864157523146083,0.08170943426157498
F0mseavg,True,6476,84,-10.469262250410456,0.27971085182861155
F0tiltstd,True,6476,84,-11.323841117461404,0.05008104267674842
F0tiltavg,True,6476,84,5.886053593268688,0.09441235781908144
F0msemin,True,6476,84,4.37027738264408,0.08689474325141414
avgtiltEunvoiced,True,6476,84,1.6053986651525953,0.5941279311234604
kurtosisEunvoiced,True,6476,84,0.047020667589261045,0.9819471325392503
1F0max,True,6476,84,-0.20817567240211288,0.9077673273170141
lastF0max,True,6476,84,-1.7201540814605663,0.22411619230331903
1F0mean,True,6476,84,-0.2061556742413181,0.8978559556905664
lastF0avg,True,6476,84,-0.15473816283424835,0.9043530031383895
1F0min,True,6476,84,-0.42575361609763585,0.8399558078029408
lastF0min,True,6476,84,0.0008616018529767899,0.9994641900058052
maxdurvoiced,True,6476,84,-0.33868291912678194,0.7511331919267775
F0max,True,6476,84,-2.4247218958035077,0.07481183428165371
kurtosisdurvoiced,True,6476,84,-0.7909623521145978,0.46550259584494635
F0avg,True,6476,84,-2.3475670380376576,0.0717521018430296
F0min,True,6476,84,-0.2984716321041493,0.7547909542778446
1F0std,True,6476,84,-0.24412648488979505,0.6633894570442533
lastF0std,True,6476,84,-0.7511117156871131,0.002307174525717358
max1Eunvoiced,True,6476,84,0.20581045249215293,0.5162061166038734
F0std,True,6476,84,-1.4309578676384602,0.00011122800882907945
maxlastEunvoiced,True,6476,84,-0.48508094196267587,0.1533062473328981
kurtosismseEunvoiced,True,6476,84,0.3089200256511869,0.31453305650386465
kurtosis1Eunvoiced,True,6476,84,-0.49158117397194195,0.0791417556126539
std1Eunvoiced,True,6476,84,0.27872860721105225,0.38472108329070065
stdlastEunvoiced,True,6476,84,-0.46163366653572285,0.03012455096382598
