feature,success,n_obs,n_groups,interlocutor_age_ref,"coef::C(interlocutor_age_bucket, Treatment(reference='Younger'))[T.Older]","coef::C(interlocutor_age_bucket, Treatment(reference='Younger'))[T.unknown]","p::C(interlocutor_age_bucket, Treatment(reference='Younger'))[T.Older]","p::C(interlocutor_age_bucket, Treatment(reference='Younger'))[T.unknown]"
F0msemax,True,4499,73,Younger,-85.82110037294724,-183.54064316222994,0.012619323115445731,0.33512036076324925
F0tiltmin,True,4499,73,Younger,18.185589938828223,154.4029133439851,0.4133057481600829,0.3048421668132545
F0tiltmax,True,4499,73,Younger,-16.33180483462566,-4.435202375794787,0.30538806076995395,0.9675809708520963
F0msestd,True,4499,73,Younger,-19.735025985528832,-33.38021477466056,0.06718644291298319,0.6838428003522239
F0mseavg,True,4499,73,Younger,-8.598920450854607,26.851999251645545,0.3455759191889135,0.7732292433689802
F0tiltstd,True,4499,73,Younger,-4.4772883556996526,-16.27357396365974,0.5955128234361035,0.6768662817878952
F0tiltavg,True,4499,73,Younger,4.317653895986387,48.46730217247618,0.5110355565136244,0.21217484644842255
F0msemin,True,4499,73,Younger,1.8247553129230905,3.4524496173176993,0.6578204489194712,0.5872487246953526
avgtiltEunvoiced,True,4499,73,Younger,-7.263371711130766,24.36767413575665,0.00036843588055610505,0.282836486310736
kurtosisEunvoiced,True,4499,73,Younger,-3.028246802375065,56.97823568493093,0.12402222466752356,0.11410935312701956
1F0max,True,4499,73,Younger,-2.772363363249963,17.001544595780327,0.17996697965760422,0.03182397917106658
lastF0max,True,4499,73,Younger,-2.3960118178609138,-7.272860327286055,0.4493343920017713,0.7291454414563971
1F0mean,True,4499,73,Younger,-2.1879316375817166,21.497366702276274,0.2624867162624259,0.025085567613909118
lastF0avg,True,4499,73,Younger,-2.611528707029377,0.9354262076930406,0.3162560331296327,0.9608423139953217
1F0min,True,4499,73,Younger,-1.7059115098833655,30.511798031625233,0.4793604328652227,0.00037176103617157156
lastF0min,True,4499,73,Younger,-2.6290065018088655,3.9943098828296764,0.2772424543862799,0.7827370715067649
maxdurvoiced,True,4499,73,Younger,-2.453540731880998,2.6568342223610633,0.003751037485129752,0.9005770664683523
F0max,True,4499,73,Younger,-1.5777192047814055,7.655396562202907,0.48632179012467014,0.009538199179656603
kurtosisdurvoiced,True,4499,73,Younger,1.8285868078474203,15.183287390057009,0.0597018303880396,0.06312968353694808
F0avg,True,4499,73,Younger,-1.6237155235391751,9.006732514524352,0.39942073721582494,0.11393689701988471
F0min,True,4499,73,Younger,0.6394615253941931,10.41972931644595,0.6534114123257642,0.06738181961407255
1F0std,True,4499,73,Younger,-0.3686522946637715,-5.227701937344592,0.44482396951693304,0.04164653814894886
lastF0std,True,4499,73,Younger,-0.22825446041352326,-4.583171646052413,0.5887091550550283,0.02516209689489397
max1Eunvoiced,True,4499,73,Younger,0.8919647333592802,2.1008011410009195,0.0015746839683352235,0.6942538015776732
F0std,True,4499,73,Younger,-0.16699185261484353,2.0038785065364206,0.7900621384380344,0.47950728475453475
maxlastEunvoiced,True,4499,73,Younger,1.0584019956017237,4.6514100462042265,1.0992103502551235e-09,0.38779822570535005
kurtosismseEunvoiced,True,4499,73,Younger,0.7991279140737388,2.1398635461642375,0.002647642826510065,0.6635242167101225
kurtosis1Eunvoiced,True,4499,73,Younger,0.8329450613165402,4.484654507429787,1.3050420929623564e-07,0.2770746542799024
std1Eunvoiced,True,4499,73,Younger,0.758370773729985,1.3843396132482493,0.010127775975149703,0.7537468093056477
stdlastEunvoiced,True,4499,73,Younger,0.6175298036350962,4.670385374533583,0.00015947230331941046,0.0056133361507466955
