utt_id,interaction_id,speaker,speaker_age_mode,prev_speaker,interlocutor_age_bucket,age_match,gender,age_bucket,condition
test_1_0,test_1,MONISHA,Younger,,,different,female,Younger,monolingual_HI
test_1_1,test_1,MAYA,Older,MONISHA,Younger,different,female,Older,monolingual_EN
test_1_2,test_1,MONISHA,Younger,MAYA,Older,different,female,Younger,code_switched
test_1_3,test_1,MAYA,Older,MONISHA,Younger,different,female,Older,code_switched
test_1_4,test_1,SAHIL,Younger,MAYA,Older,different,male,Younger,code_switched
test_1_5,test_1,MAYA,Older,SAHIL,Younger,different,female,Older,code_switched
test_1_6,test_1,SAHIL,Younger,MAYA,Older,different,male,Younger,code_switched
test_1_7,test_1,MAYA,Older,SAHIL,Younger,different,female,Older,code_switched
test_1_8,test_1,INDRAVARDHAN,Older,MAYA,Older,same,male,Older,code_switched
test_1_9,test_1,MAYA,Older,INDRAVARDHAN,Older,same,female,Older,monolingual_HI
test_1_11,test_1,MAYA,Older,MAYA,Older,same,female,Older,code_switched
test_1_12,test_1,SAHIL,Younger,MAYA,Older,different,male,Younger,code_switched
test_10_0,test_10,MAYA,Older,,,different,female,Older,code_switched
test_10_1,test_10,MONISHA,Younger,MAYA,Older,different,female,Younger,monolingual_EN
test_10_2,test_10,MAYA,Older,MONISHA,Younger,different,female,Older,code_switched
test_10_3,test_10,MONISHA,Younger,MAYA,Older,different,female,Younger,code_switched
test_100_0,test_100,MONISHA,Younger,,,different,female,Younger,code_switched
test_100_1,test_100,INDRAVARDHAN,Older,MONISHA,Younger,different,male,Older,code_switched
test_100_2,test_100,MAYA,Older,INDRAVARDHAN,Older,same,female,Older,monolingual_HI
test_100_3,test_100,INDRAVARDHAN,Older,MAYA,Older,same,male,Older,code_switched
test_101_2,test_101,MAYA,Older,,,different,female,Older,monolingual_HI
test_101_3,test_101,INDRAVARDHAN,Older,MAYA,Older,same,male,Older,code_switched
test_101_4,test_101,MAYA,Older,INDRAVARDHAN,Older,same,female,Older,code_switched
test_104_0,test_104,SAHIL,Younger,,,different,male,Younger,code_switched
test_104_1,test_104,MAYA,Older,SAHIL,Younger,different,female,Older,code_switched
test_104_2,test_104,MONISHA,Younger,MAYA,Older,different,female,Younger,monolingual_HI
test_104_3,test_104,MAYA,Older,MONISHA,Younger,different,female,Older,monolingual_HI
test_104_4,test_104,MONISHA,Younger,MAYA,Older,different,female,Younger,code_switched
test_105_0,test_105,DUSHYANT,Younger,,,different,male,Younger,code_switched
test_105_1,test_105,SAHIL,Younger,DUSHYANT,Younger,same,male,Younger,code_switched
test_107_0,test_107,SAHIL,Younger,,,different,male,Younger,code_switched
test_108_3,test_108,MAYA,Older,,,different,female,Older,monolingual_HI
test_109_6,test_109,SAHIL,Younger,,,different,male,Younger,code_switched
test_111_0,test_111,DUSHYANT,Younger,,,different,male,Younger,code_switched
test_111_1,test_111,MONISHA,Younger,DUSHYANT,Younger,same,female,Younger,code_switched
test_111_2,test_111,DUSHYANT,Younger,MONISHA,Younger,same,male,Younger,code_switched
test_111_3,test_111,ROSESH,Younger,DUSHYANT,Younger,same,male,Younger,code_switched
test_112_7,test_112,INDRAVARDHAN,Older,,,different,male,Older,code_switched
test_113_1,test_113,MONISHA,Younger,,,different,female,Younger,monolingual_HI
test_113_2,test_113,MAYA,Older,MONISHA,Younger,different,female,Older,code_switched
