feature,success,n_obs,n_groups,coef_diff_vs_sameAge,p_diff_vs_sameAge
F0msemax,True,52313,65,7.699997422107062,0.8712320913167946
F0tiltmin,True,52313,65,-18.043585977467014,0.4430895323877867
F0mseavg,True,52313,65,-13.156818213444996,0.625538212950085
F0msemin,True,52313,65,-34.62091246179243,0.1429885418934131
F0tiltmax,True,52313,65,-40.112439510011015,0.03837110701890059
F0tiltavg,True,52313,65,-31.954843822198306,0.06793523278962318
F0tiltstd,True,52313,65,-7.676035284664861,0.4780454290105832
F0msestd,True,52313,65,21.57855383461757,0.41063569184625426
kurtosisEunvoiced,True,52313,65,-5.6939690557908715,0.39291600015466255
avgtiltEunvoiced,True,52313,65,-7.976951549066751,0.13566164123681426
1F0max,True,52313,65,-8.341185882806077,0.22757809705570198
F0max,True,52313,65,-5.145232617791525,0.5386557504208789
lastF0max,True,52313,65,-8.605420764960575,0.2602907412660641
lastF0avg,True,52313,65,-7.92992079753825,0.1878486226966256
1F0mean,True,52313,65,-6.476818175612037,0.21704730305413622
F0avg,True,52313,65,-5.637258081079242,0.3272352547631745
lastF0min,True,52313,65,-8.72922743699996,0.08935491892036719
1F0min,True,52313,65,-5.830409970187523,0.23093610164939438
F0min,True,52313,65,-5.8776283379607275,0.19241185613885814
kurtosisdurvoiced,True,52313,65,1.0796450012149883,0.4471060819397257
maxdurvoiced,True,52313,65,-2.4443072107842143,0.06620931508930938
max1Eunvoiced,True,52313,65,-0.33345768763540173,0.8687662712375488
F0std,True,52313,65,0.3424555474647427,0.8406666576239493
maxlastEunvoiced,True,52313,65,0.44982506242732123,0.7500937313593625
kurtosismseEunvoiced,True,52313,65,-0.5898116996287834,0.7639942747486315
1F0std,True,52313,65,-0.6632814510552576,0.5860290596999489
lastF0std,True,52313,65,0.40476780379771615,0.7854487044074446
kurtosis1Eunvoiced,True,52313,65,0.39373100227731955,0.7462865366428404
UP,True,52313,65,-0.24771209777827224,0.8718003191737264
std1Eunvoiced,True,52313,65,-0.8345082253286769,0.6630978038281705
