utt_id,interaction_id,speaker,speaker_age_mode,prev_speaker,interlocutor_age_bucket,age_match,gender,age_bucket,condition
UI06MAZ_0105_0.000_0.730,-1,6,19-24,,,different,male,19-24,monolingual_ZH
UI12FAZ_0103_0.000_0.836,-1,12,25+,6,19-24,different,female,25+,monolingual_ZH
UI24MAZ_0102_0.000_0.969,-1,24,25+,12,25+,same,male,25+,monolingual_ZH
NI36MBQ_0101_0.000_1.093,-1,36,19-24,24,25+,different,male,19-24,monolingual_EN
UI29FAZ_0104_0.000_1.162,-1,29,25+,36,19-24,different,female,25+,monolingual_ZH
UI27FAZ_0104_0.000_1.265,-1,27,19-24,29,25+,different,female,25+,code_switched
UI17FAZ_0103_0.000_1.300,-1,17,25+,27,19-24,different,female,25+,monolingual_ZH
NI13MBQ_0101_0.000_1.337,-1,13,25+,17,25+,same,male,19-24,monolingual_ZH
UI24MAZ_0104_0.000_1.539,-1,24,25+,13,25+,same,male,25+,code_switched
UI17FAZ_0102_0.000_1.558,-1,17,25+,24,25+,same,female,25+,monolingual_ZH
UI20MAZ_0104_0.000_1.943,-1,20,19-24,17,25+,different,male,19-24,code_switched
NI46FBQ_0101_0.000_1.960,-1,46,19-24,20,19-24,same,female,19-24,monolingual_ZH
UI22MAZ_0102_0.000_1.981,-1,22,19-24,46,19-24,same,male,19-24,monolingual_ZH
UI16MAZ_0102_0.000_2.017,-1,16,25+,22,19-24,different,male,25+,monolingual_ZH
UI29FAZ_0101_0.000_2.039,-1,29,25+,16,25+,same,female,25+,code_switched
UI18MAZ_0105_0.000_2.379,-1,18,19-24,29,25+,different,male,25+,code_switched
UI24MAZ_0105_0.000_2.409,-1,24,25+,18,19-24,different,male,25+,code_switched
UI02FAZ_0103_0.000_2.524,-1,2,19-24,24,25+,different,female,19-24,monolingual_ZH
NI22FBP_0101_0.000_2.575,-1,22,19-24,2,19-24,same,female,19-24,monolingual_ZH
UI01FAZ_0107_0.000_2.610,-1,1,25+,22,19-24,different,female,25+,monolingual_ZH
UI17FAZ_0105_0.000_2.693,-1,17,25+,1,25+,same,female,25+,monolingual_ZH
NI45FBP_0101_0.000_2.730,-1,45,19-24,17,25+,different,female,19-24,code_switched
UI10FAZ_0104_0.000_2.751,-1,10,19-24,45,19-24,same,female,25+,monolingual_ZH
UI07FAZ_0104_0.000_2.880,-1,7,19-24,10,19-24,same,female,25+,code_switched
UI01FAZ_0105_0.000_3.008,-1,1,25+,7,19-24,different,female,25+,code_switched
NI07FBQ_0101_0.000_3.066,-1,7,19-24,1,25+,different,female,19-24,monolingual_EN
UI22MAZ_0103_0.000_3.340,-1,22,19-24,7,19-24,same,male,19-24,monolingual_EN
UI12FAZ_0102_0.000_3.400,-1,12,25+,22,19-24,different,female,25+,monolingual_ZH
UI15FAZ_0101_0.000_3.514,-1,15,25+,12,25+,same,female,25+,monolingual_ZH
UI02FAZ_0104_0.000_3.779,-1,2,19-24,15,25+,different,female,19-24,monolingual_ZH
UI24MAZ_0103_0.000_4.040,-1,24,25+,2,19-24,different,male,25+,code_switched
UI02FAZ_0102_0.000_4.735,-1,2,19-24,24,25+,different,female,19-24,monolingual_ZH
UI14MAZ_0102_0.000_5.395,-1,14,19-24,2,19-24,same,male,25+,code_switched
UI21MAZ_0102_0.000_5.414,-1,21,19-24,14,19-24,same,male,19-24,code_switched
UI21MAZ_0104_0.000_5.545,-1,21,19-24,21,19-24,same,male,19-24,code_switched
UI19MAZ_0103_0.000_5.640,-1,19,19-24,21,19-24,same,male,19-24,monolingual_ZH
UI05MAZ_0102_0.000_5.872,-1,5,19-24,19,19-24,same,male,19-24,monolingual_ZH
UI21MAZ_0103_0.000_6.584,-1,21,19-24,5,19-24,same,male,19-24,code_switched
UI16MAZ_0101_0.000_7.310,-1,16,25+,21,19-24,different,male,25+,code_switched
UI15FAZ_0102_0.000_7.539,-1,15,25+,16,25+,same,female,25+,monolingual_EN
UI18MAZ_0103_0.000_7.589,-1,18,19-24,15,25+,different,male,25+,code_switched
NI47MBP_0101_0.000_7.715,-1,47,19-24,18,19-24,same,male,19-24,code_switched
UI13FAZ_0102_0.000_7.789,-1,13,25+,47,19-24,different,female,25+,monolingual_ZH
NI41MBP_0101_0.000_7.840,-1,41,19-24,13,25+,different,male,19-24,monolingual_EN
UI16MAZ_0105_0.000_7.851,-1,16,25+,41,19-24,different,male,25+,monolingual_ZH
UI10FAZ_0102_0.000_8.317,-1,10,19-24,16,25+,different,female,25+,code_switched
UI15FAZ_0103_0.000_8.550,-1,15,25+,10,19-24,different,female,25+,code_switched
UI06MAZ_0102_0.000_8.930,-1,6,19-24,15,25+,different,male,19-24,code_switched
UI16MAZ_0104_0.000_9.484,-1,16,25+,6,19-24,different,male,25+,code_switched
UI18MAZ_0104_0.000_9.819,-1,18,19-24,16,25+,different,male,25+,code_switched
UI13FAZ_0105_0.000_11.532,-1,13,25+,18,19-24,different,female,25+,code_switched
UI13FAZ_0103_0.000_11.956,-1,13,25+,13,25+,same,female,25+,code_switched
UI14MAZ_0104_0.000_12.198,-1,14,19-24,13,25+,different,male,25+,code_switched
NI52MBQ_0101_0.000_15.220,-1,52,19-24,14,19-24,same,male,19-24,code_switched
NI44MBQ_0101_0.210_2.820,-1,44,19-24,52,19-24,same,male,19-24,monolingual_EN
UI22MAZ_0105_0.289_2.263,-1,22,19-24,44,19-24,same,male,19-24,code_switched
NI59FBQ_0101_0.296_1.338,-1,59,19-24,22,19-24,same,female,19-24,code_switched
NI62MBQ_0101_0.340_2.210,-1,62,19-24,59,19-24,same,male,19-24,code_switched
UI17FAZ_0104_0.354_8.610,-1,17,25+,62,19-24,different,female,25+,code_switched
NI08FBP_0201_0.399_6.440,-1,8,19-24,17,25+,different,female,19-24,code_switched
NI29MBP_0101_0.505_2.553,-1,29,25+,8,19-24,different,male,19-24,monolingual_ZH
NI60MBP_0101_0.644_1.546,-1,60,19-24,29,25+,different,male,19-24,monolingual_ZH
UI25FAZ_0103_0.665_7.086,-1,25,19-24,60,19-24,same,female,19-24,code_switched
NI37MBP_0101_0.669_1.579,-1,37,19-24,25,19-24,same,male,19-24,monolingual_EN
UI06MAZ_0103_0.686_9.867,-1,6,19-24,37,19-24,same,male,19-24,code_switched
NI65MBP_0101_0.704_1.926,-1,65,19-24,6,19-24,same,male,19-24,monolingual_EN
UI26MAZ_0102_0.721_3.072,-1,26,19-24,65,19-24,same,male,25+,code_switched
NI03FBX_0101_0.782_1.483,-1,3,19-24,26,19-24,same,female,19-24,monolingual_ZH
UI19MAZ_0102_0.794_6.247,-1,19,19-24,3,19-24,same,male,19-24,code_switched
UI12FAZ_0103_0.836_4.563,-1,12,25+,19,19-24,different,female,25+,code_switched
UI23FAZ_0104_0.860_7.876,-1,23,19-24,12,25+,different,female,19-24,code_switched
NI05MBQ_0101_0.887_1.700,-1,5,19-24,23,19-24,same,male,19-24,monolingual_EN
NI16FBP_0101_0.963_3.093,-1,16,25+,5,19-24,different,female,19-24,monolingual_EN
UI24MAZ_0102_0.969_2.873,-1,24,25+,16,25+,same,male,25+,code_switched
UI02FAZ_0105_0.981_2.203,-1,2,19-24,24,25+,different,female,19-24,monolingual_ZH
UI23FAZ_0102_0.989_1.561,-1,23,19-24,2,19-24,same,female,19-24,monolingual_ZH
UI29FAZ_0104_1.162_3.880,-1,29,25+,23,19-24,different,female,25+,monolingual_ZH
NI27MBQ_0101_1.181_1.869,-1,27,19-24,29,25+,different,male,19-24,monolingual_EN
UI12FAZ_0104_1.242_7.952,-1,12,25+,27,19-24,different,female,25+,code_switched
UI27FAZ_0104_1.265_7.148,-1,27,19-24,12,25+,different,female,25+,code_switched
NI14MBP_0101_1.268_2.110,-1,14,19-24,27,19-24,same,male,19-24,monolingual_EN
NI13MBQ_0101_1.337_2.824,-1,13,25+,14,19-24,different,male,19-24,monolingual_ZH
NI01MAX_0101_1.353_3.612,-1,1,25+,13,25+,same,male,25+,monolingual_ZH
UI06MAZ_0105_1.405_6.007,-1,6,19-24,1,25+,different,male,19-24,code_switched
NI08FBP_0101_1.457_9.535,-1,8,19-24,6,19-24,same,female,19-24,code_switched
NI52MBQ_0201_1.470_3.890,-1,52,19-24,8,19-24,same,male,19-24,code_switched
NI31FBP_0101_1.610_8.150,-1,31,19-24,52,19-24,same,female,19-24,code_switched
NI43FBP_0101_1.630_3.630,-1,43,19-24,31,19-24,same,female,19-24,monolingual_EN
NI05MBQ_0101_1.700_2.760,-1,5,19-24,43,19-24,same,male,19-24,monolingual_EN
NI02FAX_0101_1.710_2.807,-1,2,19-24,5,19-24,same,female,19-24,monolingual_ZH
NI35FBP_0101_1.743_3.223,-1,35,19-24,2,19-24,same,female,19-24,monolingual_EN
UI14MAZ_0103_1.746_7.523,-1,14,19-24,35,19-24,same,male,25+,code_switched
NI33MBP_0101_1.764_4.534,-1,33,19-24,14,19-24,same,male,19-24,monolingual_EN
NI03FBX_0101_1.794_2.444,-1,3,19-24,33,19-24,same,female,19-24,monolingual_ZH
UI22MAZ_0104_1.903_3.294,-1,22,19-24,3,19-24,same,male,19-24,monolingual_ZH
UI17FAZ_0102_1.936_4.447,-1,17,25+,22,19-24,different,female,25+,monolingual_ZH
NI59FBQ_0101_1.950_2.580,-1,59,19-24,17,25+,different,female,19-24,monolingual_ZH
NI46FBQ_0101_1.960_3.470,-1,46,19-24,59,19-24,same,female,19-24,monolingual_ZH
NI27MBQ_0101_2.017_2.746,-1,27,19-24,46,19-24,same,male,19-24,monolingual_ZH
NI67MBQ_0101_2.070_3.240,-1,67,19-24,27,19-24,same,male,19-24,monolingual_ZH
NI49MBP_0101_2.080_5.700,-1,49,19-24,67,19-24,same,male,19-24,code_switched
UI02FAZ_0105_2.203_5.639,-1,2,19-24,49,19-24,same,female,19-24,monolingual_ZH
UI20MAZ_0104_2.236_4.176,-1,20,19-24,2,19-24,same,male,19-24,monolingual_ZH
UI21MAZ_0105_2.248_10.589,-1,21,19-24,20,19-24,same,male,19-24,code_switched
NI60MBP_0101_2.345_3.595,-1,60,19-24,21,19-24,same,male,19-24,monolingual_ZH
UI27FAZ_0102_2.400_12.047,-1,27,19-24,60,19-24,same,female,25+,code_switched
NI39FBP_0101_2.446_7.490,-1,39,19-24,27,19-24,same,female,19-24,monolingual_EN
NI03FBX_0101_2.522_2.989,-1,3,19-24,39,19-24,same,female,19-24,code_switched
UI02FAZ_0103_2.524_4.459,-1,2,19-24,3,19-24,same,female,19-24,code_switched
NI22FBP_0101_2.575_4.410,-1,22,19-24,2,19-24,same,female,19-24,code_switched
