utt_id,speaker,condition,gender,age_bucket,gender_match,interlocutor_age_bucket
train_91_2,SAHIL,monolingual_HI,male,Younger,different,Younger
train_213_4,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_272_5,MONISHA,code_switched,female,Younger,same,Older
train_356_1,MONISHA,code_switched,female,Younger,same,Older
train_313_1,MONISHA,code_switched,female,Younger,same,Older
train_335_2,INDRAVARDHAN,monolingual_EN,male,Older,different,Older
train_418_2,SAHIL,monolingual_EN,male,Younger,same,Older
train_193_2,MAYA,code_switched,female,Older,different,Older
train_405_5,INDRAVARDHAN,code_switched,male,Older,different,Older
train_270_5,MONISHA,code_switched,female,Younger,different,Younger
train_213_6,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_1_1,RADHABAI,code_switched,female,Older,different,Older
train_394_1,SAHIL,code_switched,male,Younger,different,Younger
train_109_5,SAHIL,monolingual_HI,male,Younger,same,Younger
train_276_3,SAHIL,monolingual_EN,male,Younger,different,Older
train_77_3,SAHIL,monolingual_EN,male,Younger,different,Older
train_444_1,MAYA,code_switched,female,Older,different,Older
train_401_1,ROSESH,code_switched,male,Younger,same,Older
train_188_1,MONISHA,monolingual_HI,female,Younger,different,Younger
train_369_1,SAHIL,code_switched,male,Younger,same,Older
train_376_6,ROSESH,code_switched,male,Younger,different,Older
train_30_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_274_1,SAHIL,code_switched,male,Younger,same,Older
train_16_2,MONISHA,code_switched,female,Younger,same,Younger
train_195_4,MAYA,code_switched,female,Older,different,Older
train_75_1,MAYA,code_switched,female,Older,different,Older
train_153_2,INDRAVARDHAN,monolingual_HI,male,Older,different,Younger
train_116_2,MAYA,monolingual_HI,female,Older,different,Older
train_130_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_269_4,MAYA,code_switched,female,Older,different,Younger
train_195_5,INDRAVARDHAN,code_switched,male,Older,different,Older
train_116_3,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_376_7,MAYA,monolingual_HI,female,Older,different,Younger
train_114_1,INDRAVARDHAN,monolingual_HI,male,Older,same,Younger
train_151_1,BAA,code_switched,female,Older,different,Younger
train_77_2,MAYA,monolingual_HI,female,Older,different,Younger
train_233_2,MAYA,code_switched,female,Older,different,Older
train_276_2,MAYA,code_switched,female,Older,different,Younger
train_109_4,ROSESH,code_switched,male,Younger,same,Younger
train_215_1,MONISHA,monolingual_HI,female,Younger,different,Older
train_51_1,MAYA,code_switched,female,Older,same,Younger
train_14_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_228_1,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_29_1,MAYA,monolingual_HI,female,Older,different,Older
train_134_4,MONISHA,code_switched,female,Younger,different,Younger
train_191_1,ROSESH,code_switched,male,Younger,same,Older
train_213_7,MONISHA,code_switched,female,Younger,different,Older
train_129_1,MAYA,monolingual_EN,female,Older,different,Younger
train_270_4,SAHIL,code_switched,male,Younger,different,Younger
train_91_1,MONISHA,code_switched,female,Younger,different,Younger
train_370_1,SAHIL,code_switched,male,Younger,same,Older
train_335_1,MAYA,monolingual_EN,female,Older,different,Older
train_313_2,MAYA,code_switched,female,Older,same,Younger
train_418_1,NAGESH,monolingual_HI,male,Older,same,Younger
train_272_6,MAYA,monolingual_EN,female,Older,same,Younger
train_261_1,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_25_1,MAYA,code_switched,female,Older,different,Younger
train_416_3,MAYA,code_switched,female,Older,different,Older
train_125_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_146_2,MAYA,code_switched,female,Older,different,Older
train_381_1,MONISHA,code_switched,female,Younger,different,Younger
train_239_4,INDRAVARDHAN,code_switched,male,Older,different,Older
train_263_3,MAYA,code_switched,female,Older,different,Older
train_324_4,INDRAVARDHAN,code_switched,male,Older,same,Older
train_414_1,KASHYAP,monolingual_HI,male,Younger,different,Older
train_432_2,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_127_3,MAYA,monolingual_HI,female,Older,same,Older
train_339_1,MAYA,code_switched,female,Older,same,Younger
train_304_1,MAYA,monolingual_EN,female,Older,different,Younger
train_341_1,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_319_4,INDRAVARDHAN,monolingual_HI,male,Older,same,Older
train_298_5,INDRAVARDHAN,code_switched,male,Older,same,Older
train_86_2,MADHUSUDAN,code_switched,male,Older,same,Older
train_287_2,SAHIL,monolingual_HI,male,Younger,same,Younger
train_40_4,ROSESH,code_switched,male,Younger,different,Older
train_306_3,MONISHA,code_switched,female,Younger,different,Older
train_18_1,SAHIL,code_switched,male,Younger,same,Older
train_410_5,MONISHA,monolingual_HI,female,Younger,different,Younger
train_219_1,SAHIL,code_switched,male,Younger,different,Older
train_398_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_410_4,SAHIL,code_switched,male,Younger,different,Younger
train_378_4,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_306_2,JUGALKISHORE,code_switched,male,Older,different,Younger
train_365_1,MONISHA,code_switched,female,Younger,same,Older
train_287_3,ROSESH,code_switched,male,Younger,same,Younger
train_86_3,INDRAVARDHAN,code_switched,male,Older,same,Older
train_319_5,INDRAVARDHAN,monolingual_HI,male,Older,same,Older
train_448_1,MONISHA,code_switched,female,Younger,same,Older
train_298_4,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_184_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_179_1,MAYA,monolingual_HI,female,Older,different,Older
train_84_1,MAYA,code_switched,female,Older,same,Younger
train_127_2,MAYA,monolingual_HI,female,Older,different,Younger
train_144_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_162_2,INDRAVARDHAN,monolingual_HI,male,Older,same,Younger
train_270_8,SAHIL,code_switched,male,Younger,different,Younger
train_200_1,MAYA,code_switched,female,Older,different,Younger
train_324_5,SIDDHARTH,monolingual_EN,male,Younger,same,Older
train_358_1,INDRAVARDHAN,code_switched,male,Older,different,Older
train_263_2,INDRAVARDHAN,code_switched,male,Older,different,Older
train_239_5,MAYA,code_switched,female,Older,different,Older
train_416_2,INDRAVARDHAN,code_switched,male,Older,different,Older
train_430_1,MAYA,monolingual_HI,female,Older,same,Younger
train_247_1,INDRAVARDHAN,code_switched,male,Older,same,Younger
train_383_2,MAYA,code_switched,female,Older,same,Older
train_25_2,SAHIL,monolingual_HI,male,Younger,different,Older
train_430_3,MONISHA,code_switched,female,Younger,same,Younger
train_103_1,MAYA,code_switched,female,Older,same,Younger
train_146_1,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_358_3,INDRAVARDHAN,code_switched,male,Older,different,Older
train_381_2,MONISHA,code_switched,female,Younger,same,Younger
train_182_5,INDRAVARDHAN,monolingual_HI,male,Older,same,Older
train_414_2,MAYA,monolingual_HI,female,Older,different,Younger
train_432_1,MONISHA,code_switched,female,Younger,different,Older
train_341_2,MAYA,monolingual_HI,female,Older,different,Older
train_287_1,ROSESH,code_switched,male,Younger,same,Younger
train_86_1,INDRAVARDHAN,code_switched,male,Older,same,Older
train_123_4,MAYA,code_switched,female,Older,same,Younger
train_410_6,SAHIL,code_switched,male,Younger,different,Younger
train_186_1,MAYA,code_switched,female,Older,same,Younger
train_306_1,MONISHA,monolingual_HI,female,Younger,different,Older
train_365_2,MAYA,monolingual_HI,female,Older,same,Younger
train_410_7,MONISHA,code_switched,female,Younger,different,Younger
train_376_8,ROSESH,code_switched,male,Younger,different,Older
train_448_2,MAYA,code_switched,female,Older,same,Younger
train_184_2,MAYA,code_switched,female,Older,different,Older
train_179_2,INDRAVARDHAN,code_switched,male,Older,different,Older
train_182_4,MADHUSUDAN,monolingual_EN,male,Older,same,Older
train_127_1,SAHIL,code_switched,male,Younger,different,Older
train_162_1,SAHIL,code_switched,male,Younger,same,Older
train_213_8,INDRAVARDHAN,code_switched,male,Older,different,Younger
train_226_1,MAYA,code_switched,female,Older,same,Younger
train_263_1,MAYA,code_switched,female,Older,different,Older
train_381_3,SAHIL,monolingual_HI,male,Younger,different,Younger
train_358_2,MAYA,code_switched,female,Older,different,Older
train_416_1,MAYA,code_switched,female,Older,different,Older
train_25_3,MAYA,code_switched,female,Older,different,Younger
train_430_2,MONISHA,code_switched,female,Younger,same,Older
train_383_1,MAYA,code_switched,female,Older,same,Younger
train_138_2,INDRAVARDHAN,monolingual_EN,male,Older,different,Older
train_180_2,MAYA,monolingual_EN,female,Older,different,Younger
train_239_2,INDRAVARDHAN,code_switched,male,Older,different,Older
train_38_2,SAHIL,monolingual_HI,male,Younger,different,Younger
train_416_5,MAYA,code_switched,female,Older,same,Older
train_324_2,SIDDHARTH,monolingual_HI,male,Younger,same,Older
train_220_3,INDRAVARDHAN,monolingual_HI,male,Older,different,Older
train_64_3,SAHIL,code_switched,male,Younger,same,Older
train_387_1,ROSESH,code_switched,male,Younger,different,Older
train_298_3,ROSESH,monolingual_EN,male,Younger,same,Older
train_434_2,MAYA,code_switched,female,Older,different,Older
train_222_1,SAHIL,monolingual_EN,male,Younger,same,Younger
train_204_2,MAYA,code_switched,female,Older,different,Younger
