feature,success,n_obs,n_groups,age_ref,coef_diff_vs_same,p_diff_vs_same,"coef::C(age_bucket, Treatment(reference='Older'))[T.Younger]","coef::C(age_bucket, Treatment(reference='Older'))[T.unknown]","coef::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","coef::C(gender_match, Treatment(reference='same'))[T.unknown]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","coef::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.unknown]","coef::C(gender_match, Treatment(reference='same'))[T.unknown]:C(age_bucket, Treatment(reference='Older'))[T.unknown]","p::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(age_bucket, Treatment(reference='Older'))[T.unknown]","p::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(gender_match, Treatment(reference='same'))[T.unknown]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.unknown]","p::C(gender_match, Treatment(reference='same'))[T.unknown]:C(age_bucket, Treatment(reference='Older'))[T.unknown]"
F0msemax,True,3575,57,Older,67.18809747317857,0.016919024265553268,193.14355876147204,-302.93429395825854,-88.39157421170441,-80.46470002750907,0.0,-302.93429395826774,0.5641122793719883,0.41258670447004986,0.44420813383534874,0.5116936530709317,,0.4125867044700501
F0tiltmin,True,3575,57,Older,-43.10534773168284,0.09960246655429071,58.493847346741994,6.67989066571291,-1.494831004372195,-13.338632968705015,0.0,6.67989066571328,0.5833165526417787,0.8822763449091595,0.9717536658419984,0.7268735282244911,,0.8822763449091566
F0tiltmax,True,3575,57,Older,24.10966256531547,0.43641580616024767,42.57808966003209,-90.22986412485727,-51.00320440467923,-8.783163313313263,0.0,-90.22986412486026,0.5893747752899148,0.0025987603240720564,0.19207024654506388,0.8250664237910301,,0.0025987603240719805
F0msestd,True,3575,57,Older,21.639239263425818,0.09094273688102988,68.883036165736,-41.74432175132086,-23.31429906153877,-31.69241813883746,0.0,-41.744321751321955,0.5064189842925263,0.7636577424507164,0.626761067963868,0.4799229282421613,,0.7636577424507174
F0mseavg,True,3575,57,Older,17.21950519633692,0.2897747686094566,39.33128222099844,4.546140275929369,-16.984546440070815,-44.29719960781894,0.0,4.546140275929455,0.5991368060419608,0.9711828607560234,0.6293166870055258,0.2389301678137291,,0.9711828607560238
F0tiltstd,True,3575,57,Older,11.536618871527248,0.28650344096085534,-5.0479406700073834,-8.99357387620155,-3.235193235883304,5.145671846353427,0.0,-8.993573876201866,0.8871866943039768,0.4696372734379075,0.8617856478833957,0.7750081501957768,,0.4696372734379055
F0tiltavg,True,3575,57,Older,-18.416830576149934,0.000667045893054763,10.729658254423615,-8.01980626684026,4.288220465248706,-0.43849485510556074,0.0,-8.019806266840517,0.6445026220922019,0.5043346981150318,0.5848534417376612,0.9419465213443761,,0.5043346981150313
avgtiltEunvoiced,True,3575,57,Older,-11.796387933103448,0.007203156494279777,-2.7930650868206075,-9.352675885068834,19.001959552740495,4.063256405174372,0.0,-9.352675885069129,0.7765070820504313,0.07348387478171589,0.004567382471134703,0.4957536250194411,,0.07348387478171549
kurtosisEunvoiced,True,3575,57,Older,0.8195673211847999,0.8247543783492808,10.157372322367499,-27.212158422626494,9.840272527039753,-4.583561264107005,0.0,-27.212158422627333,0.4733850787756545,0.11328054524428058,0.04002204987283001,0.24581144615681427,,0.11328054524428058
F0msemin,True,3575,57,Older,-2.869467139998509,0.22632433675904395,2.2625905135757987,-9.676503796672423,0.48530054873437767,-17.34558878105842,0.0,-9.67650379667271,0.6326103442403804,5.667259171080319e-14,0.928425318126413,0.0005653490165824355,,5.6672591710807694e-14
1F0max,True,3575,57,Older,6.733156173329726,0.038335689298043776,4.843954098907526,-4.566215964957672,-5.974492111828879,-13.442840441050047,0.0,-4.566215964957711,0.7848574288965874,0.8128510667753355,0.5412356433654804,0.12875502787033366,,0.8128510667753396
lastF0max,True,3575,57,Older,2.5932176914113536,0.7776206874056744,-1.9468457202246456,9.591625074813374,6.565102674758788,4.327099518377294,0.0,9.591625074813674,0.8750617149118574,0.42073737443987913,0.6257528035422502,0.7639893768730515,,0.4207373744398789
1F0mean,True,3575,57,Older,3.7899840305601282,0.181512229591538,0.828479099391397,3.7109867167379518,-0.8728592954351713,-6.225044565353346,0.0,3.710986716738033,0.9577738043250879,0.855157251679773,0.9102088857543358,0.310693555373343,,0.8551572516797743
lastF0avg,True,3575,57,Older,2.267547386861442,0.7434385323355581,-0.5462767603459089,12.1121915050131,3.830122993653783,5.0334896667786735,0.0,12.112191505013518,0.9567504490472636,0.20568996103813286,0.7451921789229485,0.6832712983256739,,0.2056899610381312
lastF0min,True,3575,57,Older,0.8997435936346665,0.847519764740021,1.0619468324512775,5.83633445234001,0.8317242529327282,4.200159537801951,0.0,5.836334452340172,0.906151724668582,0.011161021087008281,0.9324489997773657,0.7048701803537415,,0.0111610210870083
1F0min,True,3575,57,Older,2.257934820828513,0.427728540013639,-1.2986545575449964,8.135222446250554,1.273784490711381,-1.0740952406756985,0.0,8.135222446250818,0.9276032148100719,0.6707174683941166,0.8574089286659838,0.7776964027061286,,0.6707174683941161
maxdurvoiced,True,3575,57,Older,-0.6685183695486968,0.6833250848863974,-0.39160047650099233,-5.994161867886651,6.191953056927131,-0.16198184177531177,0.0,-5.994161867886836,0.9186826785623389,0.18122008039139048,0.05088753922036173,0.9619713448304785,,0.18122008039139048
F0max,True,3575,57,Older,6.872908578563961,0.0038595877501831875,2.5512878928663767,-0.5493022117243201,0.431572317885422,-4.686951658611129,0.0,-0.5493022117243614,0.8580496141722467,0.925365559720838,0.9206758929310461,0.40944803488245174,,0.9253655597208348
kurtosisdurvoiced,True,3575,57,Older,-2.5808551837337053,0.145104851054555,-5.866584603922569,-1.4768932118914804,-0.4884521049222525,3.6838438573864494,0.0,-1.4768932118915252,0.4276062788876578,0.7662943546880852,0.8510817603514084,0.04505175505645137,,0.7662943546880853
F0avg,True,3575,57,Older,-0.33315050099662197,0.7439686314687586,-2.627794061752355,17.455435264825127,7.43466738141091,3.2807478858694696,0.0,17.45543526482564,0.8537220354590103,0.032915800639843694,0.12747627317837093,0.5644020815262676,,0.032915800639844006
