feature,success,n_obs,n_groups,age_ref,coef_diff_vs_same,p_diff_vs_same,"coef::C(age_bucket, Treatment(reference='Older'))[T.Younger]","coef::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.Younger]"
F0msemax,True,2415,50,Older,65.66628505076437,0.02158910770455615,191.76598698585056,-85.85614018937429,0.5662367967553537,0.4613062068038134
F0tiltmin,True,2415,50,Older,-42.96826276826094,0.10104632739174185,58.57373615883087,-1.6657705974369863,0.5817714132737255,0.9684966025552546
F0tiltmax,True,2415,50,Older,24.09084471025596,0.4396095279727076,42.22674136189263,-50.53733033019685,0.5925869254646343,0.196910578602443
F0msestd,True,2415,50,Older,21.106181040432944,0.1058119580299014,68.40569761878261,-22.43294347264372,0.50904848667363,0.643595129680888
F0mseavg,True,2415,50,Older,16.789189672758454,0.3071898009899151,39.16209133843999,-16.553997375263094,0.5999326014005997,0.6426161703779969
F0tiltstd,True,2415,50,Older,11.5579555973208,0.2895772825048183,-5.080634047838035,-3.203144816446865,0.886352306994609,0.8628391268888396
F0tiltavg,True,2415,50,Older,-18.315964568843334,0.0006515891765467298,10.699913024291497,4.277506554285579,0.6454954503610457,0.5802377491719697
avgtiltEunvoiced,True,2415,50,Older,-11.723062432897413,0.0076543317097553165,-2.729843400252286,18.883893929534203,0.7835752419501721,0.004632801183384148
kurtosisEunvoiced,True,2415,50,Older,0.9664836605672167,0.7961015805190808,10.251122060688683,9.64650471970566,0.4747963165901343,0.04303191467257603
F0msemin,True,2415,50,Older,-2.909278465887286,0.21909012048568133,2.3185250335042857,0.43208814445641464,0.6311441352128617,0.9363634334713408
1F0max,True,2415,50,Older,6.628886723417898,0.04107283759403254,4.7392453989168715,-5.787356611656951,0.7885608726040694,0.5545550023198944
lastF0max,True,2415,50,Older,2.5499002708459324,0.7803726570554463,-1.9959288754140758,6.650102540367791,0.8713817099848642,0.6203427053680732
1F0mean,True,2415,50,Older,3.73989952172383,0.18796480734172194,0.7763674265776769,-0.7806105676514662,0.960344478307778,0.9195116423732057
lastF0avg,True,2415,50,Older,2.2174740102383823,0.7472882194615666,-0.6081461014569804,3.9350487339193525,0.9515668649293945,0.7374281687630538
lastF0min,True,2415,50,Older,0.8486462275372533,0.8544791483371822,0.9921120212511448,0.9475043124076343,0.9117310540600082,0.9226388023709751
1F0min,True,2415,50,Older,2.242964762987107,0.43173022122162674,-1.3275464614559824,1.318664557915828,0.9259257332398831,0.8515671224824817
maxdurvoiced,True,2415,50,Older,-0.6830787240065954,0.678499837645376,-0.44619141019768704,6.270034705702638,0.9076436436515674,0.04614281529684959
F0max,True,2415,50,Older,6.791979034877291,0.0038269227765044245,2.4450217043638465,0.6093070010654638,0.8628655331324198,0.8867952461430955
kurtosisdurvoiced,True,2415,50,Older,-2.5786112431814106,0.14738229016979226,-5.8569823959307605,-0.5020309429420244,0.42834331069047893,0.8467810029888853
F0avg,True,2415,50,Older,-0.3628648191456434,0.7243361134188104,-2.6696940979918513,7.503672163167844,0.8511959316107447,0.12226222320275142
