feature,success,n_obs,n_groups,age_ref,coef_diff_vs_same,p_diff_vs_same,"coef::C(age_bucket, Treatment(reference='Older'))[T.Younger]","coef::C(age_bucket, Treatment(reference='Older'))[T.unknown]","coef::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","coef::C(gender_match, Treatment(reference='same'))[T.unknown]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","coef::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.unknown]","coef::C(gender_match, Treatment(reference='same'))[T.unknown]:C(age_bucket, Treatment(reference='Older'))[T.unknown]","p::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(age_bucket, Treatment(reference='Older'))[T.unknown]","p::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(gender_match, Treatment(reference='same'))[T.unknown]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.unknown]","p::C(gender_match, Treatment(reference='same'))[T.unknown]:C(age_bucket, Treatment(reference='Older'))[T.unknown]"
F0msemax,True,6476,84,Older,64.76085607857853,0.039001401608197456,237.6763719082106,-7726334459659953.0,-73.78783700820284,-155.568876493167,-2.42621189367617,7726334459660168.0,0.43304625887417736,0.3291598479608071,0.3253010437922762,0.020636528310513467,0.3311885491063076,0.33235406034615134
F0tiltmin,True,6476,84,Older,-56.1167735762275,5.5097973422455236e-05,21.117389581728734,4129121686126129.5,22.037058309907778,38.203127759172546,1.2966205640748734,-4129121686126247.0,0.8306787644651044,0.1253828931745751,0.34827673028757156,0.09348828383672894,0.1260696251666781,0.12594863383047722
F0tiltmax,True,6476,84,Older,25.43964896602176,0.03571554327064807,40.289216975291396,-265766826592850.0,-37.23340991200596,-21.32684522521188,-0.08345569804035124,265766826592862.75,0.5990792270571612,0.9624624212678329,0.10498981131632508,0.5770428745776702,0.9626962355047501,0.9626989515788502
F0msestd,True,6476,84,Older,12.50526430780534,0.17033880144062918,79.53139954566383,-1954177912039350.5,-14.915363769992942,-48.94152245772128,-0.6136480005238822,1954177912039385.0,0.39358045719332524,0.508549134597085,0.6040466720677979,0.041882343192654485,0.5094454675609734,0.5102522035246224
F0mseavg,True,6476,84,Older,-2.543833778710786,0.8706361680457979,31.623288787757687,77751697135918.5,2.9469724349704407,-32.38095686880246,0.024415470664595373,-77751697135930.5,0.6546163760357244,0.9678704331971124,0.9065370831924058,0.18353634965996135,0.9679776671692059,0.9680115170311863
F0tiltstd,True,6476,84,Older,14.050905476812055,0.0017149613453407474,5.478996294282094,-201647247956343.12,-5.59598185772643,-9.286029215767662,-0.06332096466611492,201647247956314.62,0.8747590267946261,0.890286760955671,0.5374495819358267,0.4072407099167641,0.8905418619055396,0.890831765115148
F0tiltavg,True,6476,84,Older,-17.08824787398256,1.0193851555713436e-06,9.886358413925297,1448306228367757.0,-1.985055265531499,5.694980644109906,0.454794937405015,-1448306228367913.2,0.6729376711334786,0.5714083156237368,0.6619860569973075,0.5591784245696994,0.5716682476571147,0.5726559755783105
F0msemin,True,6476,84,Older,-9.564768289577689,0.10001051151001861,-5.2119543624880444,312830393973404.5,8.924167279449675,-2.4386032526533006,0.09823452848493852,-312830393973373.44,0.37933742393448544,0.774964301863077,0.14480387025180713,0.7240371316664413,0.7761186501235908,0.7760414316841995
avgtiltEunvoiced,True,6476,84,Older,-2.4533826112796175,0.4852399986450646,2.6089655433163172,-1027316064237405.0,6.430889362361088,-1.0917402367647402,-0.3225962410287728,1027316064237427.1,0.7894113558958664,0.017924930516858943,0.15490740740590425,0.8191964709146817,0.018331193968279612,0.018392204095807985
kurtosisEunvoiced,True,6476,84,Older,1.6112445864490055,0.49480908750429564,12.104428297490896,-455264102237315.1,6.550709246756717,-8.089709453851672,-0.1429613467264489,455264102237311.06,0.3377424343764195,0.36916875646288283,0.03662669653261665,0.027339785820230413,0.37079165073151255,0.3714547273628228
1F0max,True,6476,84,Older,1.7728286095462114,0.596298557981038,1.7011911018488857,-454645702282205.4,-1.5728555147784586,-7.4364542305689865,-0.14276715770526244,454645702282245.75,0.9213546743657807,0.19866605750390254,0.8180692672121208,0.27280674655565385,0.19934750304093274,0.20017370573654347
lastF0max,True,6476,84,Older,0.46272594457521565,0.9489227682110417,-0.6751631523590673,-505214117118347.44,4.32799682406509,3.6925593653879387,-0.1586465750616265,505214117118389.2,0.9478097663981738,0.052572742750216804,0.6640568269658564,0.7162981042197357,0.05382725886413461,0.053845619939210825
1F0mean,True,6476,84,Older,0.10681048445522734,0.9690092454250014,-0.8496240711303689,-602970226830947.2,2.4605250363057776,-1.553664677308637,-0.18934380119163088,602970226830995.2,0.9530747360815631,0.05839069767556555,0.674090948343846,0.7412375422402081,0.05884522448962145,0.059315459672217664
lastF0avg,True,6476,84,Older,0.15443940548864354,0.9746378812626123,-0.7984126028868734,-610924554298610.0,3.8829453664023115,4.466444984622243,-0.19184160710580508,610924554298648.1,0.91895569742698,0.07544704557484203,0.6272502282840402,0.5495651973932404,0.07597112183536081,0.07681502569607386
1F0min,True,6476,84,Older,-0.0783237319514356,0.9746523215755017,-1.8758276733577453,-644166712595384.4,3.9226789274451748,2.162169618500091,-0.2022802595162326,644166712595423.1,0.8807274262377381,0.0359395181528572,0.5033842639306737,0.5143906772735781,0.03602379707755614,0.036249847523403496
lastF0min,True,6476,84,Older,-0.7340070003084933,0.8109762897580259,-2.6254304058624722,-653626154993058.4,4.3460256694744634,6.111775770303027,-0.20525069935061893,653626154993084.6,0.6899818250073734,0.14491881983006225,0.4655257670034515,0.271669128137068,0.1457270909464345,0.14735879938900423
maxdurvoiced,True,6476,84,Older,0.054132614293064374,0.9741130676301826,1.0716616065142113,-427854508685108.0,1.9090433647686982,-0.9674301865909275,-0.13435422750006878,427854508685112.9,0.723884915329262,0.0284988276095836,0.45859859972387507,0.7336611991557287,0.029042047164197005,0.029165183874808542
F0max,True,6476,84,Older,3.622071851178358,0.044901662465746985,2.1711612334706496,-364687788110284.6,1.7990008421073065,-3.7518418808915626,-0.11451870917720808,364687788110303.0,0.8766760076947039,0.10909678419075897,0.6134087434697535,0.30379612292424185,0.10951133708769788,0.11036384615722158
kurtosisdurvoiced,True,6476,84,Older,-2.6385409293798916,0.011136149064592846,-3.7648835499807936,166668718897477.56,-2.692996185181598,0.32677613659960547,0.05233705972788458,-166668718897486.84,0.5651661780631887,0.20524745908846753,0.23859128708385213,0.8636876285688788,0.2059577189015831,0.20667754039602326
F0avg,True,6476,84,Older,-0.13336118240505845,0.9267154062752953,-1.232597730230085,-544667338416644.9,4.5988578660761394,1.2077965292630484,-0.1710356161078734,544667338416684.6,0.9241904361090649,0.026538760779288226,0.20032614726266484,0.7104351333714489,0.026903363143659608,0.02706791138877148
