feature,success,n_obs,n_groups,age_ref,coef_diff_vs_same,p_diff_vs_same,"coef::C(age_bucket, Treatment(reference='Older'))[T.Younger]","coef::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(age_bucket, Treatment(reference='Older'))[T.Younger]","p::C(gender_match, Treatment(reference='same'))[T.different]:C(age_bucket, Treatment(reference='Older'))[T.Younger]"
F0msemax,True,4462,64,Older,63.6701000425035,0.04637026049712579,237.5620320975729,-73.65198272411578,0.43376758116589686,0.3244081629570429
F0tiltmin,True,4462,64,Older,-55.21967471700377,7.035392290931533e-05,21.43233889763929,21.484411650585564,0.8282147059523848,0.3636893035949901
F0tiltmax,True,4462,64,Older,24.96015100481008,0.037651827154316475,39.99385189475235,-36.559093725833925,0.6029995151043164,0.11148535214787082
F0msestd,True,4462,64,Older,12.251988078000622,0.19049951822705313,79.53241561931706,-14.916547504776188,0.39411180124255407,0.6039206372607006
F0mseavg,True,4462,64,Older,-2.340118419745669,0.8815743617114273,31.798246765662377,2.649547308588106,0.6528951417359492,0.9160551103943286
F0tiltstd,True,4462,64,Older,13.825498357782216,0.0019849370946560213,5.342133280626175,-5.293704581652806,0.8782115728920289,0.5626713013338758
F0tiltavg,True,4462,64,Older,-17.051100356652984,1.6753437677958871e-06,9.803095926768714,-1.7575078234195518,0.6753759801517363,0.7050590769852031
F0msemin,True,4462,64,Older,-9.40543317176711,0.10197579614744223,-5.1186303411062815,8.74306733565347,0.3919071203649729,0.14698295877224737
avgtiltEunvoiced,True,4462,64,Older,-2.568245012222639,0.46682831814305226,2.5836143310389112,6.405842683533257,0.7920377013118376,0.1557179729527043
kurtosisEunvoiced,True,4462,64,Older,1.5624301639196678,0.5110423862406974,12.074074426473235,6.538218118956225,0.3400689342591078,0.036764081668428754
1F0max,True,4462,64,Older,1.7028862716239705,0.6147170076156697,1.6948867943201946,-1.5565018531789772,0.9217545849594474,0.820931580397747
lastF0max,True,4462,64,Older,0.4098821420915918,0.9548969396083902,-0.6762253328808313,4.309381108380961,0.9478092474555234,0.6656707758662568
1F0mean,True,4462,64,Older,0.04623472038387671,0.9866164495136133,-0.8489037507732561,2.434500349507899,0.9531720765577159,0.6780430046106544
lastF0avg,True,4462,64,Older,0.08220031039179938,0.9865629921667755,-0.804842123000254,3.873037404653797,0.9184408790577213,0.6282552085395301
1F0min,True,4462,64,Older,-0.1330617169939347,0.956729188769552,-1.8725970968053731,3.880116714742726,0.881045319932786,0.5085361610756657
lastF0min,True,4462,64,Older,-0.8219697492008692,0.7904026154258899,-2.6372464251143186,4.351416298040685,0.6891339375431484,0.4648042082579019
maxdurvoiced,True,4462,64,Older,-0.02339789703360095,0.988667673477449,1.0506136948715397,1.9428139542374354,0.7277033681527686,0.4555465899302238
F0max,True,4462,64,Older,3.531562265487406,0.05263408048894658,2.145276261298425,1.8640871068207683,0.8781647898556111,0.6003208676030052
kurtosisdurvoiced,True,4462,64,Older,-2.6277362450167656,0.011258507065528502,-3.771708379930554,-2.67656984196761,0.5643966746373787,0.24737433503654316
F0avg,True,4462,64,Older,-0.19401977141738713,0.8948530493119804,-1.236103078247598,4.584370074127139,0.9240467357697806,0.20208522267886708
