utt_id,F0avg,F0std,F0max,F0min,F0skew,F0kurt,F0tiltavg,F0mseavg,F0tiltstd,F0msestd,F0tiltmax,F0msemax,F0tiltmin,F0msemin,F0tiltskw,F0mseskw,F0tiltku,F0mseku,1F0mean,1F0std,1F0max,1F0min,1F0skw,1F0ku,lastF0avg,lastF0std,lastF0max,lastF0min,lastF0skw,lastF0ku,Vrate,avgdurvoiced,stddurvoiced,skwdurvoiced,kurtosisdurvoiced,maxdurvoiced,mindurvoiced,avgdurunvoiced,stddurunvoiced,skwdurunvoiced,kurtosisdurunvoiced,maxdurunvoiced,mindurunvoiced,avgdurpause,stddurpause,skwdurpause,kurtosisdurpause,maxdurpause,mindurpause,PVU,PU,UVU,VVU,VP,UP,avgEunvoiced,stdEunvoiced,skwEunvoiced,kurtosisEunvoiced,avgtiltEunvoiced,stdtiltEunvoiced,skwtiltEunvoiced,kurtosistiltEunvoiced,avgmseEunvoiced,stdmseEunvoiced,skwmseEunvoiced,kurtosismseEunvoiced,avg1Eunvoiced,std1Eunvoiced,max1Eunvoiced,min1Eunvoiced,skw1Eunvoiced,kurtosis1Eunvoiced,avglastEunvoiced,stdlastEunvoiced,maxlastEunvoiced,minlastEunvoiced,skwlastEunvoiced,kurtosislastEunvoiced,avgEvoiced,stdEvoiced,skwEvoiced,kurtosisEvoiced,avgtiltEvoiced,stdtiltEvoiced,skwtiltEvoiced,kurtosistiltEvoiced,avgmseEvoiced,stdmseEvoiced,skwmseEvoiced,kurtosismseEvoiced,avg1Evoiced,std1Evoiced,max1Evoiced,min1Evoiced,skw1Evoiced,kurtosis1Evoiced,avglastEvoiced,stdlastEvoiced,maxlastEvoiced,minlastEvoiced,skwlastEvoiced,kurtosislastEvoiced,file_id,wav,start,end,speaker,lang,condition,text,speaker_raw,speaker_id,has_discourse_marker,discourse_marker_type,n_discourse_markers,has_repetition,n_repetitions,has_discourse_marker_near_switch,switch_direction,first_switch_direction,n_switches,switch_type,switch_direction_class,interaction_id_raw,speaker_raw_ann,dialog_act,turn_length_words,interaction_id,audience_l2_ratio,audience_proficiency_proxy,gender,age,age_bucket,nationality,dialogue_act,is_csw,has_dm,has_rep,is_l1_to_l2,is_l2_to_l1,csw_x_dm,csw_x_rep
train_91_2,206.50746154785156,50.84708786010742,341.4959411621094,140.3668212890625,0.8934820569186968,-0.2215002200239384,59.30200568402671,843.9117296300067,267.8712057489401,656.4974800717443,278.36627903830197,1562.8686456220344,-379.63977601171587,33.91258328092117,-0.8334943403013308,-0.0750573062006633,-0.9814623212946648,-1.8506688338252175,180.0789337158203,7.313411712646484,196.39935302734375,166.52908325195312,0.0330583038830278,-0.4079729350864771,253.88345336914065,39.94029235839844,324.59088134765625,197.82374572753903,0.2494944364811598,-1.3248132804710109,-20.741025794070616,4.406700739802322,-0.5696815000519769,1.0020554631260394,-17.308691864121755,31.709028839927058,0.698634226260357,-1.4999999999999996,9.166498710683411,2.61699368725421,-0.1306743347925703,-1.5000000000000002,-18.46013420191769,3.910148387158833,-11.175988020836108,-27.753105568651407,-0.1936561133117315,-0.067736607261521,-20.356022047381515,3.804379965372836,-13.005856519935042,-32.56373304474255,-0.8504829389980293,2.482152687524434,-43.423874265446074,4.648003875771266,0.8771406385505259,-0.6475560298770475,214.6430309426754,90.2325420161294,2.3769050037790543e-16,-2.0,13.546847061441678,4.454864930174253,0.0,-2.0,-38.31369202581401,4.74511536601666,-29.60119449615453,-43.99344063715594,0.6072961418590801,-0.6222517278826238,-48.53405650507814,4.550892385525872,-40.66056674589554,-51.35870715981874,1.1469851352419718,-0.6728603318714712,1.3824884792626728,0.3,0.0668331255192114,0.4220804429649471,-1.4999999999999991,0.39,0.23,0.06,0.01,0.0,-2.0,0.07,0.05,0.365,0.185,4.794608150292242e-16,-2.0,0.55,0.18,1.0138888888888888,6.083333333333333,0.1666666666666666,0.8333333333333334,0.821917808219178,0.1643835616438356,train_91_2,data/masac_wav16k_clips/train/train_1/audios/train_91_2.wav,0.0,-1.0,SAHIL,HI,monolingual_HI,Mendhak kaam aaega?,SAHIL,SAHIL,False,,0,False,0,False,,,0,,,train_91,SAHIL,-1,3,train_91,0.3333333333333333,mid_l2,male,,Younger,Indian,-1,0,0,0,,,0,0
train_213_4,188.8605804443359,57.1105842590332,303.8180236816406,79.54784393310547,0.2050185783248957,-1.3157659161277264,52.4479933637865,151.60403041456036,422.1973944265851,307.1669360629348,715.9402894137202,1270.75810900808,-1202.6817321777328,0.9002724801157028,-1.2214326144580163,2.854900938724904,2.1974699801333824,7.470781458258035,260.1306457519531,18.02404022216797,296.1957092285156,220.2225341796875,0.0808227745345986,-0.2736660669326927,254.19387817382812,0.0,254.19387817382812,254.19387817382812,0.0,0.0,-22.87233662464399,2.1828512131951343,-0.3081368876813978,-0.9105438854291698,-6.012697017199033,68.80750413535476,-0.777603665345244,0.8030723282317367,3.242919751487593,3.93740741501245,1.032250954826438,-0.3650469872846034,-18.011319084687415,3.9196860401853097,-13.43099880338457,-28.63411152067894,-1.4469340779270026,1.128997088494211,-11.302595364164551,0.8608632044438791,-10.60154936313852,-12.854216452038044,-0.9381306709952658,-0.6989910877742767,-27.796663981205725,1.5558560623940751,-0.0498922904410322,-1.3978729444314362,-54.476682464149235,54.83558553416652,0.5731624274788698,-1.054645023467911,0.9835184076486808,1.3663718871385884,1.4913009847028356,0.9449710627725812,-34.94654250344668,1.5829366015626125,-32.564299013927226,-37.210216793170304,0.0827737398735938,-1.089379548902685,-20.171121439403763,3.738922072588228,-15.83868339622754,-27.45429020007855,-0.5443684577623407,-1.0417420506199455,2.571860816944024,0.13,0.1069909286973872,1.2823939727140523,1.130198293281393,0.43,0.02,0.0633333333333333,0.0377123616632825,0.7222985284386021,-0.311279296875,0.14,0.01,0.3822222222222222,0.306404880211272,1.7455136051454296,1.9715248546519524,1.17,0.15,1.9770114942528736,6.035087719298246,0.3275862068965517,0.6724137931034482,0.3401162790697674,0.1656976744186046,train_213_4,data/masac_wav16k_clips/train/train_1/audios/train_213_4.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.,INDRAVARDHAN,INDRAVARDHAN,True,fillers,2,False,0,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,6,alternational,L1→L2,train_213,INDRAVARDHAN,I,21,train_213,1.0,high_l2,male,,Older,Indian,-1,1,1,0,1.0,0.0,1,0
train_193_0,169.7726287841797,58.297847747802734,292.98907470703125,73.96263122558594,-0.33734496776966,-1.0782548689370877,-91.23345463155584,141.91076083503967,165.21188006808512,167.57343657860417,38.75061363442351,441.1369010132566,-434.1056823730437,0.8397093368823536,-1.3192018381304886,0.8610099834106122,0.2203446214940814,-1.0033494221306667,200.5429229736328,3.660995960235596,205.53195190429688,196.8498382568359,0.4866253437056002,-1.4999946036063885,263.36529541015625,5.3503313064575195,268.8944091796875,257.7342224121094,-0.0025142671540281,-1.9919244175315565,-18.092410841535944,5.132715354334265,-0.1505542122212669,-0.7532620362239375,-27.120654907447086,9.107016645982911,1.0162507499154685,-0.7861954166622138,15.194609048724278,15.010628059250886,0.2321324756239342,-1.6919096966825278,-17.410701362982632,0.0,-17.410701362982632,-17.410701362982632,0.0,0.0,-18.092824461920344,4.202200058640813,-10.859186095513875,-26.4971501188008,0.0396557035636533,-0.9275030535680484,-39.01401385644457,6.090867540473553,0.5088972118032706,-1.352503008107569,515.6485386310356,0.0,0.0,0.0,3.861990471554057,0.0,0.0,0.0,-39.01401385644457,6.090867540473553,-29.78816687878272,-44.59733024981773,0.5088972118032706,-1.352503008107569,-16.385494551895952,0.0,-16.385494551895952,-16.385494551895952,0.0,0.0,1.146788990825688,0.408,0.2317239737273638,-0.388150097329695,-0.6739068331176368,0.73,0.02,0.035,0.015,-3.1371590639048153e-16,-2.0,0.05,0.02,0.31,0.0778888096369861,0.1904659334801312,-1.4999999999999998,0.41,0.22,0.6997742663656884,8.857142857142856,0.0790067720090293,0.9209932279909706,1.3161290322580643,0.1129032258064516,train_193_0,data/masac_wav16k_clips/train/train_1/audios/train_193_0.wav,0.0,-1.0,MAYA,EN,monolingual_EN,"Well, he was a darling.",MAYA,MAYA,True,connectors,1,False,0,False,,,0,,,train_193,MAYA,-1,5,train_193,0.6666666666666666,high_l2,female,,Older,Indian,i,0,1,0,,,0,0
train_272_5,252.2502899169922,45.8543586730957,345.9078063964844,154.57907104492188,0.0576962163728903,-0.6189102112347502,104.29674551283463,718.7473128694169,531.3190216016558,741.7920101753045,1120.172936575751,2123.9312405838104,-438.2218219707538,5.723990378101909,1.1628738971333514,1.1202276806652136,-0.1012516281980975,-0.2130808104944961,235.17881774902344,22.53084373474121,267.6731262207031,199.0711212158203,-0.1764270698767833,-1.1818688052528663,225.03286743164065,16.88071632385254,247.81851196289065,184.9847869873047,-0.2167542796227033,-0.6560823789533554,-21.94205357446316,4.206096107836235,-0.4565002201618812,-0.7793709127786511,0.2846726423909205,18.12033742990288,-0.3268508313493978,-1.5418116554830266,26.535791216930384,26.442381662403843,0.119060601559319,-1.8407675943127857,-26.179198043573827,0.3015651962771086,-25.88753615694413,-26.71645939073588,-0.7956887989126313,-0.6667161679007836,-25.25991845341131,1.7976605026772134,-23.345943661891155,-29.563814021580313,-1.1205238670186295,0.1177755979036159,-32.107627227788946,4.163684136013204,-0.2727864536989818,0.3782727450147663,-21.151242332407364,202.7834015805642,0.296029207785708,-1.140248974260136,10.218761722318952,8.954766631637284,-0.0083060039251605,-1.9802741600302372,-33.158698551741125,7.100167026397243,-27.91335226074701,-49.912914465121325,-1.760917204041457,1.5021260734747806,-49.73397705939723,6.447042932921525,-35.4882010702861,-54.12603809546538,1.6949144035299384,1.0340880787652882,2.0408163265306123,0.33,0.2957194616524249,0.9872135191830802,-0.7705133146409566,0.83,0.06,0.075,0.0111803398874989,2.1307761553979352e-16,-1.36,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_272_5,data/masac_wav16k_clips/train/train_1/audios/train_272_5.wav,0.0,-1.0,MONISHA,CS,code_switched,Mention not mummy ji!,MONISHA,MONISHA,True,fillers,1,False,0,False,EN→HI,EN→HI,1,insertional,L2→L1,train_272,MONISHA,I,4,train_272,1.0,high_l2,female,,Younger,Indian,-1,1,1,0,0.0,1.0,1,0
train_356_1,230.09312438964844,54.06130599975586,347.1898193359375,99.74919128417967,0.5137610840987381,-0.6166824544212175,-87.6816952930702,909.8908284370956,405.64071717285174,1165.4586130279013,662.2137376478511,3827.586964884329,-812.0380702163226,8.687148457553374,-0.1179029999944757,1.2627906045076065,-0.9668459695097348,0.2624989596942519,271.27044677734375,62.08993148803711,345.9005126953125,179.10179138183594,-0.3286428273050198,-1.6954880625035955,156.2246856689453,24.494935989379883,181.6298370361328,110.67532348632812,-0.5836156130543284,-1.0842665963736609,-19.83772974504745,3.3388962613107744,-0.6494732361581059,-0.1163700763154918,-45.20807270083899,76.36139879189832,-1.6879640587633484,3.638060732902095,9.01004764903291,12.362144502474218,1.9454411412935104,3.4132650142545655,-17.602718075243537,2.56164377977148,-12.428194169655209,-27.250853581598314,-0.8966141839063275,2.396969516335676,-14.72423375006912,1.7863868656088977,-11.820462542562757,-17.9451713050423,-0.1124152512835569,-0.5941162438525125,-40.4022830130709,3.4099823854849243,0.3765842119572938,-0.9009580149831338,98.33070565007482,197.50224103249457,0.0366284061784201,-0.2589415049746768,6.880327177552971,7.996354265033697,1.3736100527954185,0.8185525691152451,-57.76115431047619,6.6589637659533665,-41.69393125269771,-64.81262788516689,1.5585759722318648,1.4362660569095365,-42.54983640209977,3.5974437617385204,-37.21817787191463,-47.95592475057315,-0.1607500445956995,-1.1405113557798132,2.6087020819828504,0.2225,0.1966649011220185,1.7658632875681863,2.426186787833692,0.82,0.05,0.0638888888888889,0.0254162871859952,0.1092390317366022,-0.7649209055553192,0.11,0.02,0.2914285714285714,0.104530046456724,0.1234742775918902,-0.9191295152650678,0.47,0.15,1.0175973396147984,4.561490683229813,0.2230843840931134,0.7769156159068864,0.7634803921568628,0.2192265795206972,train_356_1,data/masac_wav16k_clips/train/train_1/audios/train_356_1.wav,0.0,-1.0,MONISHA,CS,code_switched,Nahin Mummy ji Nahin Aisa Lagta Hai yah Bimari Bhola Bhala Bankar aapke Sharir Mein Ghush Jaati Hai aur FIR Dhire Dhire sari organs Mein kabja Kar Leti Hai,MONISHA,MONISHA,True,fillers,4,True,2,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_356,MONISHA,I,29,train_356,1.0,high_l2,female,,Younger,Indian,-1,1,1,1,1.0,0.0,1,1
train_313_1,264.01031494140625,38.51259994506836,332.3699645996094,194.35581970214844,0.3234879554694349,-1.0960152954714444,65.66088990878919,50.80135268183223,316.33377683002203,43.93347122070437,506.0767775315503,135.00054719468298,-428.7495458581246,6.771905275876683,-0.1735182832976678,1.1808300161662026,-1.0089424683647057,-0.088864855593564,225.4629821777344,15.880987167358398,255.6600646972656,194.35581970214844,-0.1046004671599869,-0.7167747717983768,321.72271728515625,5.907023906707764,332.3699645996094,313.5070495605469,0.3873378098534793,-0.976020877202258,-19.015888971414228,3.033557958461514,-0.1015746348128055,-1.3580863416209117,-124.72440976433391,80.3932857794998,-0.8808661240159087,-0.8820816470678108,1.5104620748376965,2.242130334241253,1.1361043166969202,-0.6812204060267253,-14.903644265737814,3.241891877672104,-10.24811273677109,-20.532599030035826,-0.4438409094037996,-0.957242905699387,-25.903117464932855,1.290326826508711,-24.612790638424144,-27.193444291441565,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0408163265306123,0.125,0.0572276157112979,-0.9003820431239701,-0.9103199114270732,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.3733333333333333,0.0771722460186015,0.5673165779937279,-1.5000000000000009,0.48,0.3,0.0,0.0,0.0,0.0,0.0,0.0,train_313_1,data/masac_wav16k_clips/train/train_1/audios/train_313_1.wav,0.0,-1.0,MONISHA,CS,code_switched,kaun sa?,MONISHA,MONISHA,False,,0,False,0,False,HI→EN,HI→EN,1,insertional,L1→L2,train_313,MONISHA,-1,2,train_313,1.0,high_l2,female,,Younger,Indian,-1,1,0,0,1.0,0.0,0,0
train_335_2,201.19760131835935,61.35309219360352,310.6844482421875,76.38712310791016,-0.6741473655415471,-0.2975191360704121,-94.21596368503404,215.8309996190001,126.30849612887393,435.5755939431373,104.09535018257452,1188.545936714106,-279.4977677532651,0.0748150400403473,0.0997405966173303,1.7785700841098973,-1.0655249032469474,1.1811680639083555,120.57804107666016,3.093508005142212,123.77799224853516,117.43737030029295,0.0014511497340648,-1.9970965343648148,219.0740966796875,43.06402969360352,310.6844482421875,176.4849090576172,1.2881062544043425,-0.0502614271714567,-19.804629537376744,3.0301714509485653,0.0996955313209483,-1.618833451562119,-27.891556180277412,91.8532500181228,0.7533165917070246,-0.99093799469218,2.517967625727163,2.2699963826599654,0.0189566897719917,-1.9188744431645957,-26.896251384675793,0.1436785663936763,-26.75257281828212,-27.03992995106947,-3.706570544364007e-14,-2.0,-17.738380938668357,4.359408866319789,-13.184145067113906,-23.501074893384075,-0.2650709456262031,-1.7854993782507156,-20.403049124942253,0.6968024050736011,-0.6708612497593899,-1.5000000000000044,78.04792339359608,0.0,0.0,0.0,0.0794350353128424,0.0,0.0,0.0,-24.17222985071933,0.0,-24.17222985071933,-24.17222985071933,0.0,0.0,-20.403049124942253,0.6968024050736011,-19.82186243390848,-21.38282090178041,-0.6708612497593899,-1.5000000000000044,2.6595744680851063,0.092,0.0773045923603507,0.8683119067373258,-0.7263619403988106,0.23,0.02,0.02,0.0163299316185545,0.0,-1.5000000000000002,0.04,0.0,0.3,0.15121728296285,0.5951700641394979,-1.4999999999999991,0.51,0.16,2.6785714285714284,15.0,0.1785714285714285,0.8214285714285714,0.3066666666666667,0.0666666666666666,train_335_2,data/masac_wav16k_clips/train/train_1/audios/train_335_2.wav,0.0,-1.0,INDRAVARDHAN,EN,monolingual_EN,Okay 7 minutes.,INDRAVARDHAN,INDRAVARDHAN,True,connectors,2,False,0,False,,,0,,,train_335,INDRAVARDHAN,-1,3,train_335,1.0,high_l2,male,,Older,Indian,-1,0,1,0,,,0,0
train_418_2,177.32659912109375,12.09950351715088,190.5008087158203,142.95758056640625,-1.4820323199630443,1.6858087197229086,-115.47017041374792,118.06460682346535,0.0,0.0,-115.47017041374792,118.06460682346535,-115.47017041374792,118.06460682346535,0.0,0.0,0.0,0.0,177.32659912109375,12.09950351715088,190.5008087158203,142.95758056640625,-1.4820323199630443,1.6858087197229086,177.32659912109375,12.09950351715088,190.5008087158203,142.95758056640625,-1.4820323199630443,1.6858087197229086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_418_2,data/masac_wav16k_clips/train/train_1/audios/train_418_2.wav,0.0,-1.0,SAHIL,EN,monolingual_EN,Nice.,SAHIL,SAHIL,False,,0,False,0,False,,,0,,,train_418,SAHIL,-1,1,train_418,0.6666666666666666,high_l2,male,,Younger,Indian,-1,0,0,0,,,0,0
train_93_0,237.62969970703125,50.97964096069336,343.2030029296875,112.67951202392578,0.0298438198665439,-0.9689463588268006,-8.96165216152122,638.7231396131551,541.779185733465,734.405164730939,1640.1007426868778,2634.5574210554537,-746.9885621035,10.427642085095298,1.3251231531838026,1.3926041785044936,2.0020160311669057,1.0491421489750676,252.0997009277344,58.50749206542969,340.81536865234375,181.4728851318359,0.3118072170367309,-1.5146671517247692,202.47312927246097,37.126766204833984,257.1700744628906,151.75648498535156,0.1590510568958028,-1.5513124811534271,-20.890313555949263,4.763447395711739,-0.4916073335525173,-0.5167884712115008,-31.871915568616338,129.2643305077547,-0.2768335984178486,1.5266084966288478,11.354794228096187,11.047276808338111,0.8322573953880178,-0.5803263387830877,-17.028030779003803,6.928024113256986,-10.66005448696129,-31.322416775317635,-1.0459231623145178,-0.5106950905182854,-28.07201527476639,4.08525469953099,-23.77327769258823,-36.285707980353315,-0.4674667440387902,-1.2123676406105697,-36.393163002861904,2.8064782726544566,-0.0651773367994378,-1.362122652049932,33.17029793842133,146.51912961836953,1.1306673062603818,0.8765364900370347,5.09791748628255,5.073800399200587,0.9748390521946868,-0.0553014826439799,-34.69555669147903,1.2705046967528255,-32.794209879229314,-36.765186304154554,-0.1566409478449486,-0.9306354198399508,-54.18741543237152,4.657218776306329,-48.04943130430906,-60.68180193129973,-0.0375042543484661,-1.550808121353375,2.4081115335868186,0.1857894736842105,0.1195744995466351,1.3588527191229074,1.3677558272611838,0.53,0.06,0.065,0.0232225260100126,-1.300404421279074,1.98298320249112,0.1,0.0,0.5640000000000001,0.2424541193710677,0.3752153593528811,-1.2187259876742775,0.95,0.31,2.248898216159496,8.676923076923078,0.2591815320041972,0.7408184679958026,0.3294139604329973,0.1152482269503546,train_93_0,data/masac_wav16k_clips/train/train_1/audios/train_93_0.wav,0.0,-1.0,DUSHYANT,CS,code_switched,Mom rosesh Yahan Hai aap log? Do you know something? Fluorescent hoarding dekhne Se Aankhen damage ho sakti hai?,DUSHYANT,DUSHYANT,True,fillers,2,False,0,False,"EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",EN→HI,7,alternational,L2→L1,train_93,DUSHYANT,"A, I",19,train_93,1.0,high_l2,male,,Younger,Indian,i,1,1,0,0.0,1.0,1,0
train_418_0,222.60874938964844,52.00154876708984,324.6905517578125,116.69775390625,-0.4170004749996884,-0.9641305607499756,169.21575646823746,192.9240177633124,239.36545391110596,215.2963662822836,568.9688546316922,577.8774116679921,-100.70604239501002,0.8180734739535481,0.3321922240033773,0.9285165483939244,-1.44045084066278,-0.8409348950646951,266.93560791015625,39.26383972167969,324.6905517578125,193.8409423828125,-0.2896177762516903,-1.030440892503107,144.0707550048828,4.51287841796875,149.7843780517578,137.61814880371094,0.0866133251982636,-1.3880671607071842,-17.068316349960156,3.262939973299112,-0.4502965197390678,-0.3430747155396533,-44.483476206299315,111.57619728120105,-1.9927864752891296,2.059594965685249,7.439696216357208,4.710569078196414,-0.2905717065878894,-1.1825418888235228,-12.76888296312204,2.949810141634746,-8.690148347331885,-19.50407334916162,-0.872423896219469,-0.258601767283019,-20.39160993888525,4.593021061241511,-15.398982845131346,-27.157268484697596,-0.3350400661405328,-1.5313985728358452,-26.85952035642857,1.3343895160912511,-0.0990019926129072,-1.5126084457918538,25.18008176977822,99.28367718695878,0.8627059464846291,-0.8041701231235443,1.0359946966879643,0.8868377811576463,-0.1304321203876269,-1.6450564283368858,-29.543903954540863,2.184417704325014,-25.261963616535837,-32.87413396046663,0.1606298417712707,-0.4762726193445989,-29.36357334949639,1.8165506663446755,-27.031433597177234,-32.05539664959976,-0.3279715828362212,-1.2884344894056037,1.4957264957264955,0.38,0.2536589386220346,0.4621000498041697,-1.0184349652489677,0.83,0.06,0.064,0.032,0.2211914062499998,-1.54901123046875,0.11,0.03,0.4766666666666667,0.0899382504215469,-0.6809718997018486,-1.499999999999998,0.55,0.35,1.0735735735735736,7.447916666666668,0.1441441441441441,0.8558558558558559,0.7972027972027971,0.1342657342657342,train_418_0,data/masac_wav16k_clips/train/train_1/audios/train_418_0.wav,0.0,-1.0,SAHIL,CS,code_switched,"Mein aapke wo novel khareedi thi - Man, Woman and therefore.",SAHIL,SAHIL,True,fillers,1,False,0,False,"HI→EN,EN→HI,HI→EN",HI→EN,3,alternational,L1→L2,train_418,SAHIL,I,11,train_418,0.6666666666666666,high_l2,male,,Younger,Indian,-1,1,1,0,1.0,0.0,1,0
