utt_id,file_id,speaker,speaker_gender_mode,prev_speaker,interlocutor_gender,gender_match,lang,condition
test_10_0,test_10_0,MAYA,female,,,unknown,CS,code_switched
test_10_1,test_10_1,MONISHA,female,MAYA,female,same,EN,monolingual_EN
test_10_2,test_10_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_10_3,test_10_3,MONISHA,female,MAYA,female,same,CS,code_switched
test_101_2,test_101_2,MAYA,female,,,unknown,HI,monolingual_HI
test_101_3,test_101_3,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_101_4,test_101_4,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_105_0,test_105_0,DUSHYANT,male,,,unknown,CS,code_switched
test_105_1,test_105_1,SAHIL,male,DUSHYANT,male,same,CS,code_switched
test_113_1,test_113_1,MONISHA,female,,,unknown,HI,monolingual_HI
test_113_2,test_113_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_113_3,test_113_3,MONISHA,female,MAYA,female,same,HI,monolingual_HI
test_113_4,test_113_4,MAYA,female,MONISHA,female,same,CS,code_switched
test_114_0,test_114_0,SAHIL,male,,,unknown,CS,code_switched
test_114_1,test_114_1,MONISHA,female,SAHIL,male,different,CS,code_switched
test_116_0,test_116_0,MAYA,female,,,unknown,HI,monolingual_HI
test_116_1,test_116_1,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_116_2,test_116_2,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_118_0,test_118_0,MAYA,female,,,unknown,CS,code_switched
test_118_1,test_118_1,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
test_118_2,test_118_2,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_119_0,test_119_0,MONISHA,female,,,unknown,CS,code_switched
test_119_1,test_119_1,ROSESH,male,MONISHA,female,different,HI,monolingual_HI
test_119_2,test_119_2,MONISHA,female,ROSESH,male,different,CS,code_switched
test_122_2,test_122_2,MONISHA,female,,,unknown,HI,monolingual_HI
test_122_3,test_122_3,MAYA,female,MONISHA,female,same,CS,code_switched
test_124_0,test_124_0,SAHIL,male,,,unknown,CS,code_switched
test_124_1,test_124_1,MONISHA,female,SAHIL,male,different,CS,code_switched
test_124_2,test_124_2,SAHIL,male,MONISHA,female,different,CS,code_switched
test_13_0,test_13_0,SAHIL,male,,,unknown,CS,code_switched
test_13_2,test_13_2,SAHIL,male,SAHIL,male,same,EN,monolingual_EN
test_13_3,test_13_3,MAYA,female,SAHIL,male,different,HI,monolingual_HI
test_13_4,test_13_4,SAHIL,male,MAYA,female,different,CS,code_switched
test_130_0,test_130_0,SHARMAN,male,,,unknown,CS,code_switched
test_130_1,test_130_1,INDRAVARDHAN,male,SHARMAN,male,same,CS,code_switched
test_130_2,test_130_2,SHARMAN,male,INDRAVARDHAN,male,same,CS,code_switched
test_130_3,test_130_3,INDRAVARDHAN,male,SHARMAN,male,same,CS,code_switched
test_132_0,test_132_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_132_1,test_132_1,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_135_0,test_135_0,MONISHA,female,,,unknown,HI,monolingual_HI
test_135_1,test_135_1,MAYA,female,MONISHA,female,same,CS,code_switched
test_137_3,test_137_3,ROSESH,male,,,unknown,CS,code_switched
test_137_4,test_137_4,SAHIL,male,ROSESH,male,same,CS,code_switched
test_14_0,test_14_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_14_1,test_14_1,DUSHYANT,male,INDRAVARDHAN,male,same,CS,code_switched
test_14_2,test_14_2,INDRAVARDHAN,male,DUSHYANT,male,same,CS,code_switched
test_14_3,test_14_3,DUSHYANT,male,INDRAVARDHAN,male,same,CS,code_switched
test_14_4,test_14_4,INDRAVARDHAN,male,DUSHYANT,male,same,CS,code_switched
test_143_1,test_143_1,AMAR TWANSHU,male,,,unknown,HI,monolingual_HI
test_143_2,test_143_2,INDRAVARDHAN,male,AMAR TWANSHU,male,same,HI,monolingual_HI
test_148_2,test_148_2,ROSESH,male,,,unknown,HI,monolingual_HI
test_148_3,test_148_3,SAHIL,male,ROSESH,male,same,CS,code_switched
test_149_0,test_149_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_149_1,test_149_1,ROSESH,male,INDRAVARDHAN,male,same,CS,code_switched
test_149_2,test_149_2,INDRAVARDHAN,male,ROSESH,male,same,CS,code_switched
test_15_0,test_15_0,MAYA,female,,,unknown,CS,code_switched
test_15_1,test_15_1,SAHIL,male,MAYA,female,different,CS,code_switched
test_15_2,test_15_2,MAYA,female,SAHIL,male,different,CS,code_switched
test_15_3,test_15_3,MAYA,female,MAYA,female,same,CS,code_switched
test_152_4,test_152_4,AMAR TWANSHU,male,,,unknown,EN,monolingual_EN
test_152_5,test_152_5,INDRAVARDHAN,male,AMAR TWANSHU,male,same,CS,code_switched
test_153_0,test_153_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_153_1,test_153_1,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_153_2,test_153_2,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_153_3,test_153_3,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_155_0,test_155_0,MONISHA,female,,,unknown,CS,code_switched
test_155_1,test_155_1,MAYA,female,MONISHA,female,same,CS,code_switched
test_156_0,test_156_0,MONISHA,female,,,unknown,CS,code_switched
test_156_1,test_156_1,SAHIL,male,MONISHA,female,different,CS,code_switched
test_156_2,test_156_2,MONISHA,female,SAHIL,male,different,CS,code_switched
test_156_3,test_156_3,SAHIL,male,MONISHA,female,different,CS,code_switched
test_156_4,test_156_4,MONISHA,female,SAHIL,male,different,CS,code_switched
test_156_5,test_156_5,SAHIL,male,MONISHA,female,different,HI,monolingual_HI
test_156_6,test_156_6,MONISHA,female,SAHIL,male,different,HI,monolingual_HI
test_156_7,test_156_7,SAHIL,male,MONISHA,female,different,HI,monolingual_HI
test_156_8,test_156_8,MONISHA,female,SAHIL,male,different,CS,code_switched
test_156_9,test_156_9,SAHIL,male,MONISHA,female,different,CS,code_switched
test_158_0,test_158_0,INDRAVARDHAN,male,,,unknown,CS,code_switched
test_158_1,test_158_1,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_158_2,test_158_2,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_158_3,test_158_3,SAHIL,male,INDRAVARDHAN,male,same,CS,code_switched
test_158_4,test_158_4,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_159_0,test_159_0,RADHABAI,female,,,unknown,CS,code_switched
test_159_1,test_159_1,RADHABAI,female,RADHABAI,female,same,HI,monolingual_HI
test_159_2,test_159_2,MAYA,female,RADHABAI,female,same,CS,code_switched
test_16_0,test_16_0,SAHIL,male,,,unknown,EN,monolingual_EN
test_16_1,test_16_1,MAYA,female,SAHIL,male,different,CS,code_switched
test_16_2,test_16_2,SAHIL,male,MAYA,female,different,EN,monolingual_EN
test_16_3,test_16_3,MAYA,female,SAHIL,male,different,CS,code_switched
test_16_5,test_16_5,MAYA,female,MAYA,female,same,CS,code_switched
test_162_0,test_162_0,INDRAVARDHAN,male,,,unknown,EN,monolingual_EN
test_162_2,test_162_2,INDRAVARDHAN,male,INDRAVARDHAN,male,same,HI,monolingual_HI
test_162_3,test_162_3,MAYA,female,INDRAVARDHAN,male,different,HI,monolingual_HI
test_162_4,test_162_4,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_162_5,test_162_5,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_162_6,test_162_6,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_163_0,test_163_0,SAHIL,male,,,unknown,CS,code_switched
test_163_2,test_163_2,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_169_0,test_169_0,MONISHA,female,,,unknown,CS,code_switched
test_169_1,test_169_1,MONISHA,female,MONISHA,female,same,CS,code_switched
test_169_2,test_169_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_17_0,test_17_0,ROSESH,male,,,unknown,CS,code_switched
test_17_1,test_17_1,INDRAVARDHAN,male,ROSESH,male,same,HI,monolingual_HI
test_170_0,test_170_0,KRISH,male,,,unknown,CS,code_switched
test_170_2,test_170_2,SAHIL,male,KRISH,male,same,CS,code_switched
test_171_0,test_171_0,ROSESH,male,,,unknown,CS,code_switched
test_171_1,test_171_1,INDRAVARDHAN,male,ROSESH,male,same,HI,monolingual_HI
test_173_0,test_173_0,MAYA,female,,,unknown,CS,code_switched
test_173_1,test_173_1,MAYA,female,MAYA,female,same,CS,code_switched
test_173_2,test_173_2,MAYA,female,MAYA,female,same,CS,code_switched
test_173_3,test_173_3,SARITA,female,MAYA,female,same,EN,monolingual_EN
test_173_4,test_173_4,MAYA,female,SARITA,female,same,CS,code_switched
test_173_5,test_173_5,MAYA,female,MAYA,female,same,CS,code_switched
test_174_0,test_174_0,ROSESH,male,,,unknown,CS,code_switched
test_174_1,test_174_1,MAYA,female,ROSESH,male,different,HI,monolingual_HI
test_175_0,test_175_0,MAYA,female,,,unknown,CS,code_switched
test_175_1,test_175_1,TANVIR,male,MAYA,female,different,CS,code_switched
test_177_0,test_177_0,MAYA,female,,,unknown,CS,code_switched
test_177_1,test_177_1,JAISHANKAR,male,MAYA,female,different,HI,monolingual_HI
test_181_0,test_181_0,SAHIL,male,,,unknown,CS,code_switched
test_181_1,test_181_1,INDRAVARDHAN,male,SAHIL,male,same,CS,code_switched
test_183_0,test_183_0,MAYA,female,,,unknown,CS,code_switched
test_183_6,test_183_6,ROSESH,male,MAYA,female,different,EN,monolingual_EN
test_185_0,test_185_0,INDRAVARDHAN,male,,,unknown,EN,monolingual_EN
test_185_1,test_185_1,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_185_2,test_185_2,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
test_185_3,test_185_3,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_185_4,test_185_4,INDRAVARDHAN,male,MAYA,female,different,HI,monolingual_HI
