feature,success,n_obs,group_var,n_groups,coef_diff_vs_same,p_diff_vs_same,coef_unknown_vs_same,p_unknown_vs_same
F0msemax,True,2420,speaker,51,-12.6245902238493,0.806051103408713,-427.1552320603355,0.44212659617333583
F0tiltmin,True,2420,speaker,51,-10.365679220430415,0.6547089015386474,213.32089339131818,0.3961956559283353
F0tiltmax,True,2420,speaker,51,-13.534394062458336,0.5444437159715028,36.71785069182884,0.8787918929923736
F0msestd,True,2420,speaker,51,0.9368765231178902,0.9512854320685455,-111.28009196511184,0.5027663098027458
F0mseavg,True,2420,speaker,51,3.0606012791849517,0.7930883786225734,10.07406259316599,0.9366776764702548
F0tiltstd,True,2420,speaker,51,0.3072204725279919,0.968563768359977,1.1402390934766387,0.9892095393688736
F0tiltavg,True,2420,speaker,51,-10.620992918959196,0.1483405902178745,66.42210683285836,0.40202169402067156
avgtiltEunvoiced,True,2420,speaker,51,-6.94639814666198,0.1034593603929378,-31.025495050739373,0.4982026867119914
kurtosisEunvoiced,True,2420,speaker,51,1.4485790055244585,0.714373773110754,-3.4535151460783653,0.9353743902772421
F0msemin,True,2420,speaker,51,-1.6344453326998871,0.6018168039810416,20.43941429499894,0.5420101460945373
1F0max,True,2420,speaker,51,1.6327138169144244,0.5740985365973295,14.066917867862225,0.6539416489611332
lastF0max,True,2420,speaker,51,4.752359968157198,0.09391997523473701,55.86440224856534,0.06923169211664736
1F0mean,True,2420,speaker,51,0.9077525269125978,0.7138344439285479,24.250166249231558,0.3643492960171908
1F0min,True,2420,speaker,51,0.21869372839996615,0.9289194398656808,33.315193673395214,0.20792432945996153
lastF0avg,True,2420,speaker,51,3.520427181724059,0.15488329545512763,50.453164795479,0.060230170831701034
lastF0min,True,2420,speaker,51,0.8640430209772634,0.7256336529133437,34.900953468577754,0.1911950122758228
F0max,True,2420,speaker,51,4.7443446206514786,0.003497666866914073,11.528870110326919,0.5127852787634002
maxdurvoiced,True,2420,speaker,51,0.7900453990841589,0.6381250005952319,-13.427585153050616,0.4586863561342708
kurtosisdurvoiced,True,2420,speaker,51,-0.9019129188004451,0.5621687443449712,15.149149576927785,0.3670052300054577
F0avg,True,2420,speaker,51,0.6689904118116823,0.6201422486048338,12.737566634112664,0.38786278543658015
