utt_id,file_id,speaker,speaker_gender_mode,prev_speaker,interlocutor_gender,gender_match,lang,condition
test_1_0,test_1_0,MONISHA,female,,,unknown,HI,monolingual_HI
test_1_1,test_1_1,MAYA,female,MONISHA,female,same,EN,monolingual_EN
test_1_2,test_1_2,MONISHA,female,MAYA,female,same,CS,code_switched
test_1_3,test_1_3,MAYA,female,MONISHA,female,same,CS,code_switched
test_1_4,test_1_4,SAHIL,male,MAYA,female,different,CS,code_switched
test_1_5,test_1_5,MAYA,female,SAHIL,male,different,CS,code_switched
test_1_6,test_1_6,SAHIL,male,MAYA,female,different,CS,code_switched
test_1_7,test_1_7,MAYA,female,SAHIL,male,different,CS,code_switched
test_1_8,test_1_8,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_1_9,test_1_9,MAYA,female,INDRAVARDHAN,male,different,HI,monolingual_HI
test_1_11,test_1_11,MAYA,female,MAYA,female,same,CS,code_switched
test_1_12,test_1_12,SAHIL,male,MAYA,female,different,CS,code_switched
test_10_0,test_10_0,MAYA,female,,,unknown,CS,code_switched
test_10_1,test_10_1,MONISHA,female,MAYA,female,same,EN,monolingual_EN
test_10_2,test_10_2,MAYA,female,MONISHA,female,same,CS,code_switched
test_10_3,test_10_3,MONISHA,female,MAYA,female,same,CS,code_switched
test_100_0,test_100_0,MONISHA,female,,,unknown,CS,code_switched
test_100_1,test_100_1,INDRAVARDHAN,male,MONISHA,female,different,CS,code_switched
test_100_2,test_100_2,MAYA,female,INDRAVARDHAN,male,different,HI,monolingual_HI
test_100_3,test_100_3,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_101_2,test_101_2,MAYA,female,,,unknown,HI,monolingual_HI
test_101_3,test_101_3,INDRAVARDHAN,male,MAYA,female,different,CS,code_switched
test_101_4,test_101_4,MAYA,female,INDRAVARDHAN,male,different,CS,code_switched
test_104_0,test_104_0,SAHIL,male,,,unknown,CS,code_switched
test_104_1,test_104_1,MAYA,female,SAHIL,male,different,CS,code_switched
