feature,success,n_obs,group_var,n_groups,coef_diff_vs_same,p_diff_vs_same,coef_unknown_vs_same,p_unknown_vs_same
F0msemax,True,4499,speaker,73,-12.735166947018678,0.7279757631694695,-21.00247659982733,0.9205886221843255
F0tiltmin,True,4499,speaker,73,-18.0116879141672,0.2834208905432144,50.91484622260038,0.5897934806074774
F0tiltmax,True,4499,speaker,73,-8.979239142083216,0.5691906103904807,16.974937696371608,0.8498820935501497
F0msestd,True,4499,speaker,73,-5.864923382743015,0.6018488446890784,-23.836720892443356,0.7142314686776006
F0mseavg,True,4499,speaker,73,-5.813234801760657,0.5241617860485203,29.542812806790813,0.5826574902871412
F0tiltstd,True,4499,speaker,73,2.1961283599768415,0.7049350777749183,-24.90138759827592,0.45775656033646184
F0tiltavg,True,4499,speaker,73,-13.230119780191849,0.018733027857984624,-26.867633175568667,0.39404485096374775
F0msemin,True,4499,speaker,73,-4.176266698623421,0.21991179877566658,38.480485956967826,0.041990169715112616
avgtiltEunvoiced,True,4499,speaker,73,-2.65737934819829,0.39868287738911123,11.98930029703511,0.49131986806254213
kurtosisEunvoiced,True,4499,speaker,73,1.0102768158603745,0.7319586107106615,6.4611941289783665,0.6936628378952783
1F0max,True,4499,speaker,73,-1.1933099439521437,0.5729060364801624,11.444377421906491,0.33903881891492404
lastF0max,True,4499,speaker,73,1.370030709255383,0.5080536289455321,-8.777808819252394,0.441522921933164
1F0mean,True,4499,speaker,73,-1.048073228818961,0.5561729762483618,11.895028857178952,0.23981132188579646
lastF0avg,True,4499,speaker,73,1.0574805431814809,0.5550920341026078,-10.04345077436823,0.30827427145209374
1F0min,True,4499,speaker,73,-0.7583606044956095,0.6666172723694086,10.775728198506403,0.2768200715482848
lastF0min,True,4499,speaker,73,0.33675502639114896,0.8506207783847131,-18.139226075597158,0.06501556180842549
F0max,True,4499,speaker,73,1.964285793554065,0.10273860968436764,-2.3345034560158324,0.7411341057666103
maxdurvoiced,True,4499,speaker,73,-0.1452777837761944,0.9074686711330766,-4.969903338362915,0.47974744496659927
kurtosisdurvoiced,True,4499,speaker,73,-2.289623305701715,0.04357222043853158,5.391379217509169,0.39865385280258014
F0avg,True,4499,speaker,73,-0.0706946068144984,0.9433272279982274,-1.3902163416292768,0.8183246255635536
