utt_id,file_id,speaker,speaker_gender_mode,prev_speaker,interlocutor_gender,gender_match,start_time,end_time,lang,condition
UI06MAZ_0105_0.000_0.730,UI06MAZ_0105,6,female,,,unknown,0,730,ZH,monolingual_ZH
UI12FAZ_0103_0.000_0.836,UI12FAZ_0103,12,female,6,female,same,0,836,ZH,monolingual_ZH
UI24MAZ_0102_0.000_0.969,UI24MAZ_0102,24,male,12,female,different,0,969,ZH,monolingual_ZH
NI36MBQ_0101_0.000_1.093,NI36MBQ_0101,36,male,24,male,same,0,1093,EN,monolingual_EN
UI29FAZ_0104_0.000_1.162,UI29FAZ_0104,29,female,36,male,different,0,1162,ZH,monolingual_ZH
UI27FAZ_0104_0.000_1.265,UI27FAZ_0104,27,male,29,female,different,0,1265,CS,code_switched
UI17FAZ_0103_0.000_1.300,UI17FAZ_0103,17,female,27,male,different,0,1300,ZH,monolingual_ZH
NI13MBQ_0101_0.000_1.337,NI13MBQ_0101,13,female,17,female,same,0,1337,ZH,monolingual_ZH
UI24MAZ_0104_0.000_1.539,UI24MAZ_0104,24,male,13,female,different,0,1539,CS,code_switched
UI17FAZ_0102_0.000_1.558,UI17FAZ_0102,17,female,24,male,different,0,1558,ZH,monolingual_ZH
UI20MAZ_0104_0.000_1.943,UI20MAZ_0104,20,male,17,female,different,0,1943,CS,code_switched
NI46FBQ_0101_0.000_1.960,NI46FBQ_0101,46,female,20,male,different,0,1960,ZH,monolingual_ZH
UI22MAZ_0102_0.000_1.981,UI22MAZ_0102,22,female,46,female,same,0,1981,ZH,monolingual_ZH
UI16MAZ_0102_0.000_2.017,UI16MAZ_0102,16,male,22,female,different,0,2017,ZH,monolingual_ZH
UI29FAZ_0101_0.000_2.039,UI29FAZ_0101,29,female,16,male,different,0,2039,CS,code_switched
UI18MAZ_0105_0.000_2.379,UI18MAZ_0105,18,male,29,female,different,0,2379,CS,code_switched
UI24MAZ_0105_0.000_2.409,UI24MAZ_0105,24,male,18,male,same,0,2409,CS,code_switched
