feature,success,n_obs,group_var,n_groups,coef_diff_vs_same,p_diff_vs_same,coef_unknown_vs_same,p_unknown_vs_same
F0msemax,True,52312,speaker,65,-29.515150327273282,0.030367773568572034,1.1775354765408504e-13,0.011661088243244211
F0tiltmin,True,52312,speaker,65,4.143752953368189,0.8110285497638616,-9.052633449607063e-15,0.7324413880712082
F0mseavg,True,52312,speaker,65,-25.73879008687411,0.04559023542715826,1.0139181049365768e-13,0.02577666615822966
F0msemin,True,52312,speaker,65,-23.826269073892554,0.06843673015474018,7.775197541113778e-14,0.09469727365635956
F0tiltmax,True,52312,speaker,65,14.017607642402805,0.3320278893784737,2.390517370947004e-14,0.33629046033818255
F0tiltavg,True,52312,speaker,65,9.941026734495864,0.5114035326262865,9.393236290215243e-15,0.6767114951697786
F0tiltstd,True,52312,speaker,65,4.960129428649667,0.203304426878389,1.9259926683246474e-14,0.056242022008442395
F0msestd,True,52312,speaker,65,-2.1406688741919555,0.5157122115252872,2.220712136069171e-14,0.021013733216748775
kurtosisEunvoiced,True,52312,speaker,65,3.2806632142605334,0.27733758858934576,1.1637607028137514e-14,0.17284495800033717
avgtiltEunvoiced,True,52312,speaker,65,4.743452312033861,0.018645688183002197,1.2051217731090991e-14,0.10238205901470471
1F0max,True,52312,speaker,65,-7.6489586177953965,0.00023078625460941016,6.410016634457975e-14,9.837964361805573e-40
F0max,True,52312,speaker,65,-6.439532445291467,0.0015058761157753222,6.894981340524701e-14,2.440208623667209e-52
lastF0max,True,52312,speaker,65,-6.518730920066983,0.0005050483430130973,6.729172223342224e-14,7.61921735240234e-48
lastF0avg,True,52312,speaker,65,-4.599568533645692,0.0061523686135691496,5.685073325907977e-14,6.043670567364213e-77
1F0mean,True,52312,speaker,65,-5.866924769919319,0.0010219824003204227,5.348270779365348e-14,3.490664301837224e-63
F0avg,True,52312,speaker,65,-5.40188356217837,0.0015315892372911991,5.56017673312589e-14,1.9861210351783758e-81
lastF0min,True,52312,speaker,65,-3.842858128439935,0.026633899852835253,4.962682153907101e-14,9.143390413050871e-70
1F0min,True,52312,speaker,65,-4.470810516090515,0.005272960239220365,4.57519734473077e-14,1.9473674839751812e-53
F0min,True,52312,speaker,65,-4.974892529284013,0.002394434924581452,4.6722118682714785e-14,7.399397782853168e-68
kurtosisdurvoiced,True,52312,speaker,65,-0.21423713865731517,0.7490542667411176,-1.1339612746165106e-15,0.20432378595985756
