feature,success,n_obs,n_groups,coef_diff_vs_same,p_diff_vs_same
F0msemax,True,43617,62,-30.351698571878,0.05755354749498973
F0tiltmin,True,43617,62,9.508608751751153,0.6445296808820423
F0mseavg,True,43617,62,-25.714474999742556,0.08462463838082197
F0msemin,True,43617,62,-23.58295764433146,0.11846319704999822
F0tiltmax,True,43617,62,18.229646609821522,0.28879411479114314
F0tiltavg,True,43617,62,14.7011620518291,0.41483973849457634
F0tiltstd,True,43617,62,4.8298366571209295,0.29236050637231614
F0msestd,True,43617,62,-2.4949425815057946,0.5435751531716563
kurtosisEunvoiced,True,43617,62,4.512516548595827,0.2119630426516217
avgtiltEunvoiced,True,43617,62,5.585519070588016,0.032123396232711945
1F0max,True,43617,62,-7.678992303325693,0.0013962821662201691
F0max,True,43617,62,-6.478678399527999,0.005125627220748724
lastF0max,True,43617,62,-6.07212305933718,0.00423098010563815
lastF0avg,True,43617,62,-4.260028295567174,0.0257403590655818
1F0mean,True,43617,62,-5.945360458512811,0.004165013721840341
F0avg,True,43617,62,-5.259630094361164,0.006985346637414331
lastF0min,True,43617,62,-3.841040587890317,0.050711961503235245
1F0min,True,43617,62,-4.623688319942833,0.012212060673942333
F0min,True,43617,62,-4.960436047286043,0.008421163745621262
kurtosisdurvoiced,True,43617,62,-0.2762733503043112,0.729308586536884
