feature,success,n_obs,n_groups,coef_diff_vs_same,p_diff_vs_same
F0tiltmin,True,8449,14,-12.974625079700479,0.15260525145588275
F0tiltmax,True,8449,14,-0.6959435941895851,0.952844526037066
F0msemax,True,8449,14,-16.766003242679055,0.018151158019013805
F0mseavg,True,8449,14,-17.316913822435303,0.012660285274478334
F0tiltavg,True,8449,14,-6.0492031843453535,0.47580107668784877
F0msemin,True,8449,14,-16.523428971645295,0.021413087732928358
F0tiltstd,True,8449,14,4.153548855559941,0.39103909793571634
lastF0max,True,8449,14,-8.609468633851968,0.00149326072629255
1F0max,True,8449,14,-7.41215768018357,0.009998384496115901
F0max,True,8449,14,-6.120276620682577,0.0411329959919892
F0msestd,True,8449,14,-0.36479381068524386,0.8176642662656847
lastF0avg,True,8449,14,-6.4728791018545495,0.010479035290725086
1F0mean,True,8449,14,-5.739679713021325,0.028969560989691553
F0avg,True,8449,14,-6.267546166822447,0.01427885646065103
lastF0min,True,8449,14,-4.465212528217518,0.08500260261090954
F0min,True,8449,14,-5.585564865539833,0.023737167981287575
1F0min,True,8449,14,-4.432036073464865,0.09176700297966228
avgtiltEunvoiced,True,8449,14,0.781430122702597,0.6133906694019122
kurtosisEunvoiced,True,8449,14,-1.9621651014051307,0.15596933494991744
maxdurvoiced,True,8449,14,0.28811966086517743,0.7474538425708881
