feature,success,n_obs,n_groups,coef_diff_vs_same,p_diff_vs_same
F0msemax,True,27174,40,0.6136753592772105,0.9687615770659206
F0msemin,True,27174,40,-1.3985261571523988,0.9109546430444263
F0mseavg,True,27174,40,0.2274626265070465,0.9859178314180962
F0tiltmin,True,27174,40,8.831550849033492,0.15020050054123701
F0tiltmax,True,27174,40,-0.9961264732929802,0.8210651336910824
F0tiltavg,True,27174,40,2.931344316353034,0.4666001704960413
F0msestd,True,27174,40,1.4199985459962918,0.7916283061288891
F0tiltstd,True,27174,40,-3.8528760031604246,0.1833456364549898
1F0max,True,27174,40,-1.0673928115000826,0.517466140055318
lastF0max,True,27174,40,-1.0255443255003014,0.3384463717036966
F0max,True,27174,40,-0.8732664199344601,0.5021651828307043
F0min,True,27174,40,-0.6649886833693668,0.6822404557575374
1F0min,True,27174,40,-0.7399212253124146,0.6251628929184418
lastF0min,True,27174,40,-0.7219573103868722,0.6565156780678887
1F0mean,True,27174,40,-1.139776640606944,0.47932356162566336
lastF0avg,True,27174,40,-1.039791698595383,0.41473350645782925
avgtiltEunvoiced,True,27174,40,0.20219147860951864,0.6968751132228578
F0avg,True,27174,40,-0.7939065778083325,0.5582958078539237
kurtosisEunvoiced,True,27174,40,0.3127092907333859,0.5091743048228305
maxdurvoiced,True,27174,40,0.3781425340406069,0.37471720032950007
