feature,success,n_obs,n_groups,coef_diff_vs_same,p_diff_vs_same
F0tiltmin,True,25139,36,-3.7143199291858147,0.8166130338313877
F0tiltavg,True,25139,36,4.866220218533866,0.7374508690370046
F0tiltmax,True,25139,36,11.105147636635229,0.43930253874486713
F0msemax,True,25139,36,2.3766649085197296,0.4498236705303573
F0tiltstd,True,25139,36,6.219840553992254,0.12171735068042042
kurtosisEunvoiced,True,25139,36,2.4643575215042572,0.2796725571799361
F0mseavg,True,25139,36,0.6028337249557125,0.7431642228021581
avgtiltEunvoiced,True,25139,36,2.7595431721671395,0.16589703742087336
F0msestd,True,25139,36,1.0313094367329503,0.4976219241098172
F0max,True,25139,36,2.944669818078046,0.06784838761144646
lastF0max,True,25139,36,2.560060084222021,0.09351481060101452
F0msemin,True,25139,36,-0.22021467439074457,0.8792080480874238
lastF0avg,True,25139,36,2.3871799217318066,0.07373365519867352
1F0max,True,25139,36,1.7935262496332744,0.18912917442766752
lastF0min,True,25139,36,2.0980007501304185,0.07924125768111645
1F0mean,True,25139,36,1.9560846725717616,0.07741075897563944
F0avg,True,25139,36,2.1514561410487065,0.06516514671619898
1F0min,True,25139,36,1.9296363073890737,0.04845991185236443
F0min,True,25139,36,1.4358108794796933,0.11442788118742672
kurtosisdurvoiced,True,25139,36,-0.25914056723953166,0.6705907529767954
