utt_id,file_id,speaker,speaker_nationality_mode,prev_speaker,interlocutor_nationality,nationality_match,condition
NI01MAX_0101_1.353_3.612,NI01MAX_0101,1,malaysian,,,different,monolingual_ZH
NI01MAX_0101_4.243_4.762,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_9.141_12.753,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_12.753_13.447,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_13.447_17.094,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_17.952_20.982,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_22.396_25.052,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_25.917_27.101,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_28.139_29.236,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_32.183_35.277,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_36.220_39.308,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_41.125_45.233,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_46.090_47.466,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_52.988_62.359,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_65.441_68.794,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_69.129_69.487,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_ZH
NI01MAX_0101_71.667_72.680,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_75.931_76.951,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_79.153_85.403,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_88.998_89.795,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_89.795_92.042,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_92.148_92.524,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_95.924_100.941,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_105.066_108.959,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_109.161_109.841,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_110.524_116.117,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_116.360_119.760,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_120.317_122.776,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_122.776_132.463,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_139.713_143.244,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_143.491_146.444,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_148.456_165.867,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_168.613_173.618,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_176.943_182.972,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_184.586_192.171,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_196.813_203.751,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_203.751_205.473,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_211.552_224.515,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_233.522_237.686,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_237.686_238.489,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_238.489_240.605,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_241.174_245.808,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_246.201_251.109,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_251.109_251.711,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_251.711_253.104,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_253.364_256.844,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_257.113_268.748,NI01MAX_0101,1,malaysian,1,malaysian,same,monolingual_EN
NI01MAX_0101_272.262_279.325,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_279.533_289.253,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_290.754_295.828,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
NI01MAX_0101_296.394_302.890,NI01MAX_0101,1,malaysian,1,malaysian,same,code_switched
