feature,aic,bic,log_likelihood,n_obs,n_groups
F0msemax,,,-55087.40558867775,6476,84
F0tiltmin,,,-50039.17971689967,6476,84
F0tiltmax,,,-49745.00843776579,6476,84
F0msestd,,,-47438.724598553585,6476,84
F0mseavg,,,-46122.12296270821,6476,84
F0tiltstd,,,-43150.09871791769,6476,84
F0tiltavg,,,-42865.8152805884,6476,84
F0msemin,,,-39794.37586714575,6476,84
1F0max,,,-36601.67694623416,6476,84
lastF0max,,,-36508.484340379015,6476,84
1F0mean,,,-35496.40919010919,6476,84
lastF0avg,,,-35585.35333518687,6476,84
1F0min,,,-35436.31750979087,6476,84
lastF0min,,,-35558.01748945999,6476,84
F0max,,,-32845.133699244485,6476,84
