feature,aic,bic,log_likelihood,n_obs,n_groups
F0msemax,,,-373863.9427409457,52313,65
F0tiltmin,,,-359069.4748435973,52313,65
F0mseavg,,,-362204.48721289914,52313,65
F0msemin,,,-357605.98302267,52313,65
F0tiltmax,,,-335602.23006339313,52313,65
F0tiltavg,,,-334524.95480567217,52313,65
F0tiltstd,,,-320526.6946726176,52313,65
F0msestd,,,-319492.8290494428,52313,65
1F0max,,,-272132.0955502554,52313,65
F0max,,,-273990.6844969393,52313,65
lastF0max,,,-273384.79118685506,52313,65
lastF0avg,,,-264328.0311698486,52313,65
1F0mean,,,-261018.31595621875,52313,65
F0avg,,,-261374.0507884611,52313,65
lastF0min,,,-259108.72076544387,52313,65
