corpus,feature,term,coef,p_value
masac,F0msemax,Intercept,1525.0346,0.0
masac,F0msemax,C(condition)[T.monolingual_EN],-536.8027,0.0
masac,F0msemax,C(condition)[T.monolingual_HI],-446.5897,0.0
masac,F0msemax,has_discourse_marker[T.True],222.3378,0.0
masac,F0msemax,has_repetition[T.True],368.4669,0.0
masac,F0msemax,Group Var,0.1205,0.0009
masac,F0tiltmin,Intercept,-677.1348,0.0
masac,F0tiltmin,C(condition)[T.monolingual_EN],299.335,0.0
masac,F0tiltmin,C(condition)[T.monolingual_HI],250.3912,0.0
masac,F0tiltmin,has_discourse_marker[T.True],-181.9022,0.0
masac,F0tiltmin,has_repetition[T.True],-135.2031,0.0
masac,F0tiltmin,Group Var,0.1298,0.0013
masac,F0tiltmax,Intercept,580.8033,0.0
masac,F0tiltmax,C(condition)[T.monolingual_EN],-253.5768,0.0
masac,F0tiltmax,C(condition)[T.monolingual_HI],-169.6322,0.0
masac,F0tiltmax,has_discourse_marker[T.True],64.1112,0.0002
masac,F0tiltmax,has_repetition[T.True],156.2084,0.0
masac,F0tiltmax,Group Var,0.071,0.0063
masac,F0msestd,Intercept,490.8059,0.0
masac,F0msestd,C(condition)[T.monolingual_EN],-109.0687,0.0
masac,F0msestd,C(condition)[T.monolingual_HI],-67.6789,0.0
masac,F0msestd,has_discourse_marker[T.True],25.2891,0.0371
masac,F0msestd,has_repetition[T.True],52.2081,0.0
masac,F0msestd,Group Var,0.1271,0.0009
masac,F0mseavg,Intercept,392.0573,0.0
masac,F0mseavg,C(condition)[T.monolingual_EN],-6.6933,0.6297
masac,F0mseavg,C(condition)[T.monolingual_HI],-0.8058,0.9358
masac,F0mseavg,has_discourse_marker[T.True],-30.4089,0.0021
masac,F0mseavg,has_repetition[T.True],8.5635,0.3476
masac,F0mseavg,Group Var,0.1577,0.0009
masac,F0tiltstd,Intercept,368.1128,0.0
masac,F0tiltstd,C(condition)[T.monolingual_EN],-82.3252,0.0
masac,F0tiltstd,C(condition)[T.monolingual_HI],-46.4215,0.0
masac,F0tiltstd,has_discourse_marker[T.True],18.3033,0.0034
masac,F0tiltstd,has_repetition[T.True],19.204,0.0009
masac,F0tiltstd,Group Var,0.1256,0.0027
